row,type,value
3,ga_date_crosscheck_gt_1_week,-1.1428571428571423
10,ga_date_crosscheck_gt_1_week,-1.5714285714285694
19,ga_date_crosscheck_gt_1_week,-1.7142857142857153
27,ga_date_crosscheck_gt_1_week,-1.1428571428571423
28,ga_date_crosscheck_gt_1_week,-1.142857142857146
39,ga_date_crosscheck_gt_1_week,-1.142857142857146
40,ga_date_crosscheck_gt_1_week,-1.7142857142857153
41,ga_date_crosscheck_gt_1_week,-1.428571428571427
48,ga_date_crosscheck_gt_1_week,-1.1428571428571423
79,ga_date_crosscheck_gt_1_week,-1.1428571428571423
81,ga_date_crosscheck_gt_1_week,-2.1428571428571423
90,ga_date_crosscheck_gt_1_week,-2.0
91,ga_date_crosscheck_gt_1_week,-2.1428571428571423
92,ga_date_crosscheck_gt_1_week,-1.7142857142857117
96,ga_date_crosscheck_gt_1_week,-1.2857142857142847
97,ga_date_crosscheck_gt_1_week,-1.2857142857142847
105,ga_date_crosscheck_gt_1_week,-1.1428571428571423
106,ga_date_crosscheck_gt_1_week,-1.2857142857142847
108,ga_date_crosscheck_gt_1_week,-1.1428571428571423
109,ga_date_crosscheck_gt_1_week,-1.1428571428571423
110,ga_date_crosscheck_gt_1_week,-1.1428571428571423
111,ga_date_crosscheck_gt_1_week,-1.1428571428571423
113,ga_date_crosscheck_gt_1_week,-1.1428571428571423
118,ga_date_crosscheck_gt_1_week,-1.428571428571427
119,ga_date_crosscheck_gt_1_week,-1.428571428571427
126,ga_date_crosscheck_gt_1_week,-1.4285714285714306
130,ga_date_crosscheck_gt_1_week,-1.4285714285714306
143,ga_date_crosscheck_gt_1_week,-1.4285714285714306
147,ga_date_crosscheck_gt_1_week,-1.1428571428571423
155,ga_date_crosscheck_gt_1_week,-1.1428571428571423
161,ga_date_crosscheck_gt_1_week,-1.4285714285714288
162,ga_date_crosscheck_gt_1_week,-1.7142857142857117
163,ga_date_crosscheck_gt_1_week,-1.571428571428573
164,ga_date_crosscheck_gt_1_week,-1.4285714285714306
188,ga_date_crosscheck_gt_1_week,2.2857142857142883
189,ga_date_crosscheck_gt_1_week,2.2857142857142847
190,ga_date_crosscheck_gt_1_week,1.2857142857142865
191,ga_date_crosscheck_gt_1_week,1.1428571428571441
196,ga_date_crosscheck_gt_1_week,-1.1428571428571423
203,ga_date_crosscheck_gt_1_week,-1.1428571428571423
210,ga_date_crosscheck_gt_1_week,-1.7142857142857153
211,ga_date_crosscheck_gt_1_week,-1.8571428571428577
212,ga_date_crosscheck_gt_1_week,-2.142857142857146
216,ga_date_crosscheck_gt_1_week,-1.571428571428573
217,ga_date_crosscheck_gt_1_week,-1.571428571428573
218,ga_date_crosscheck_gt_1_week,-1.571428571428573
220,ga_date_crosscheck_gt_1_week,-2.0
222,ga_date_crosscheck_gt_1_week,-1.1428571428571423
263,ga_date_crosscheck_gt_1_week,-1.0000000000000018
278,ga_date_crosscheck_gt_1_week,-1.8571428571428559
287,ga_date_crosscheck_gt_1_week,-1.1428571428571423
288,ga_date_crosscheck_gt_1_week,-1.1428571428571423
313,ga_date_crosscheck_gt_1_week,-1.7142857142857153
324,ga_date_crosscheck_gt_1_week,-1.1428571428571423
