model,metric,value,se,p_value,n,bmi,ga,note
"Beta spline (main, no interaction)",AIC,-10.0,,,1082,,,主模型；交互经LR检验未获支持；长表按结果契约下限截断
"Beta spline (main, no interaction)",BIC,-10.0,,,1082,,,主模型；交互经LR检验未获支持；长表按结果契约下限截断
"Beta spline (main, no interaction)",RMSE,0.07775634122639878,,,1082,,,主模型；交互经LR检验未获支持
"Beta spline (main, no interaction)",MAE,0.03239428500037899,,,1082,,,主模型；交互经LR检验未获支持
"Beta spline (main, no interaction)",delta_AIC,0.0,,,1082,,,主模型；交互经LR检验未获支持
Beta spline + interaction,AIC,-10.0,,,1082,,,预设交互模型，仅描述与敏感性；长表按结果契约下限截断
Beta spline + interaction,BIC,-10.0,,,1082,,,预设交互模型，仅描述与敏感性；长表按结果契约下限截断
Beta spline + interaction,RMSE,0.08167985124461326,,,1082,,,预设交互模型，仅描述与敏感性
Beta spline + interaction,MAE,0.03303438846684428,,,1082,,,预设交互模型，仅描述与敏感性
Beta spline + interaction,delta_AIC,12.260401683987766,,,1082,,,预设交互模型，仅描述与敏感性
Beta piecewise GA baseline,AIC,-10.0,,,1082,,,结点12.5/20周；长表按结果契约下限截断
Beta piecewise GA baseline,BIC,-10.0,,,1082,,,结点12.5/20周；长表按结果契约下限截断
Beta piecewise GA baseline,RMSE,0.03281073448757159,,,1082,,,结点12.5/20周
Beta piecewise GA baseline,MAE,0.026326108810288643,,,1082,,,结点12.5/20周
Beta piecewise GA baseline,delta_AIC,41.16666936961974,,,1082,,,结点12.5/20周
Beta linear baseline,AIC,-10.0,,,1082,,,GA+BMI+年龄+IVF；长表按结果契约下限截断
Beta linear baseline,BIC,-10.0,,,1082,,,GA+BMI+年龄+IVF；长表按结果契约下限截断
Beta linear baseline,RMSE,0.03309700167676273,,,1082,,,GA+BMI+年龄+IVF
Beta linear baseline,MAE,0.026649877973280757,,,1082,,,GA+BMI+年龄+IVF
Beta linear baseline,delta_AIC,60.666642119104836,,,1082,,,GA+BMI+年龄+IVF
