replicate,K,boundary_index,boundary
1,2,1,30.5
1,3,1,29.5
1,3,2,30.5
1,4,1,29.5
1,4,2,30.0
1,4,3,30.5
1,5,1,29.5
1,5,2,30.0
1,5,3,30.5
1,5,4,31.5
2,2,1,30.0
2,3,1,29.0
2,3,2,30.0
2,4,1,29.0
2,4,2,30.0
2,4,3,31.0
2,5,1,29.0
2,5,2,30.5
2,5,3,31.5
2,5,4,32.5
3,2,1,29.5
3,3,1,29.0
3,3,2,30.0
3,4,1,29.0
3,4,2,29.5
3,4,3,30.5
3,5,1,29.0
3,5,2,29.5
3,5,3,30.5
3,5,4,31.0
4,2,1,30.0
4,3,1,29.0
4,3,2,30.0
4,4,1,29.0
4,4,2,30.0
4,4,3,30.5
4,5,1,29.0
4,5,2,30.0
4,5,3,30.5
4,5,4,31.0
5,2,1,29.0
5,3,1,29.0
5,3,2,30.5
5,4,1,29.0
5,4,2,30.0
5,4,3,30.5
5,5,1,29.0
5,5,2,30.0
5,5,3,34.5
5,5,4,36.5
6,2,1,33.5
6,3,1,32.5
6,3,2,34.5
6,4,1,32.5
6,4,2,33.5
6,4,3,35.0
6,5,1,32.0
6,5,2,33.0
6,5,3,34.0
6,5,4,35.5
7,2,1,29.5
7,3,1,29.0
7,3,2,30.0
7,4,1,29.0
7,4,2,29.5
7,4,3,30.0
7,5,1,29.0
7,5,2,29.5
7,5,3,30.0
7,5,4,30.5
8,2,1,29.5
8,3,1,30.0
8,3,2,34.5
8,4,1,29.5
8,4,2,30.0
8,4,3,36.0
8,5,1,29.5
8,5,2,30.0
8,5,3,31.0
8,5,4,36.0
9,2,1,30.0
9,3,1,29.0
9,3,2,29.5
9,4,1,29.0
9,4,2,29.5
9,4,3,30.0
9,5,1,29.0
9,5,2,29.5
9,5,3,30.0
9,5,4,30.5
10,2,1,29.0
10,3,1,29.5
10,3,2,30.5
10,4,1,29.0
10,4,2,30.5
10,4,3,36.0
10,5,1,29.0
10,5,2,30.0
10,5,3,34.5
10,5,4,36.0
11,2,1,36.0
11,3,1,29.0
11,3,2,36.0
11,4,1,29.0
11,4,2,30.0
11,4,3,36.0
11,5,1,29.0
11,5,2,30.0
11,5,3,33.0
11,5,4,36.0
12,2,1,34.5
12,3,1,34.0
12,3,2,35.0
12,4,1,29.5
12,4,2,34.0
12,4,3,35.0
12,5,1,29.0
12,5,2,30.0
12,5,3,34.0
12,5,4,35.0
13,2,1,33.5
13,3,1,32.5
13,3,2,34.0
13,4,1,32.5
13,4,2,33.5
13,4,3,34.5
13,5,1,32.0
13,5,2,33.0
13,5,3,34.0
13,5,4,35.5
14,2,1,29.5
