replicate,K,group,optimal_week_total_error
1,2,G1,12.033101021400853
1,2,G2,12.036775516887879
1,3,G1,12.032252124612945
1,3,G2,12.033769506419894
1,3,G3,12.036775516887879
1,4,G1,12.032252124612945
1,4,G2,12.033517298971027
1,4,G3,12.033956346124791
1,4,G4,12.036775516887879
1,5,G1,12.032252124612945
1,5,G2,12.033517298971027
1,5,G3,12.033956346124791
1,5,G4,12.034453270850195
1,5,G5,12.037325121117416
2,2,G1,12.00885161941651
2,2,G2,12.01246493644201
2,3,G1,12.008218193085531
2,3,G2,12.009425854844812
2,3,G3,12.01246493644201
2,4,G1,12.008218193085531
2,4,G2,12.009425854844812
2,4,G3,12.010408271939006
2,4,G4,12.013040401872125
2,5,G1,12.008218193085531
2,5,G2,12.009633058860773
2,5,G3,12.01069864177414
2,5,G4,12.011675729005743
2,5,G5,12.013790365596472
3,2,G1,12.144268546313862
3,2,G2,12.46486479205675
3,3,G1,12.053281847352958
3,3,G2,12.32185483215901
3,3,G3,12.465782274982269
3,4,G1,12.053281847352958
3,4,G2,12.270692065661637
3,4,G3,12.450800399704077
3,4,G4,12.467296394460197
3,5,G1,12.053281847352958
3,5,G2,12.270692065661637
3,5,G3,12.450800399704077
3,5,G4,12.455013649474544
3,5,G5,12.469189201804427
4,2,G1,12.246838272829676
4,2,G2,12.45737983298366
4,3,G1,12.125982177079967
4,3,G2,12.328359968958516
4,3,G3,12.45737983298366
4,4,G1,12.125982177079967
4,4,G2,12.328359968958516
4,4,G3,12.416533028625999
4,4,G4,12.458463364073783
4,5,G1,12.125982177079967
4,5,G2,12.328359968958516
4,5,G3,12.416533028625999
4,5,G4,12.450733505250136
4,5,G5,12.459858963772216
5,2,G1,12.013748941044861
5,2,G2,12.021676956034534
5,3,G1,12.013748941044861
5,3,G2,12.017118527617964
5,3,G3,12.023042190826152
5,4,G1,12.013748941044861
5,4,G2,12.016569764480764
5,4,G3,12.017882254836467
5,4,G4,12.023042190826152
5,5,G1,12.013748941044861
5,5,G2,12.016569764480764
5,5,G3,12.02069134894404
5,5,G4,12.02555872307755
5,5,G5,12.02925014915568
6,2,G1,12.047918559029497
6,2,G2,12.450549756449814
6,3,G1,12.047128430415196
6,3,G2,12.22269487655046
6,3,G3,12.452111145634102
6,4,G1,12.047128430415196
6,4,G2,12.174211989814022
6,4,G3,12.303199158301645
6,4,G4,12.452722534548965
6,5,G1,12.046899749824359
6,5,G2,12.119594117176735
6,5,G3,12.232219850826645
6,5,G4,12.374101035573753
6,5,G5,12.453262411571588
7,2,G1,12.01321490074911
7,2,G2,12.020708365551544
7,3,G1,12.012141213089944
7,3,G2,12.01493429539559
7,3,G3,12.021456670947194
7,4,G1,12.012141213089944
7,4,G2,12.014240143618919
7,4,G3,12.015479831960425
7,4,G4,12.021456670947194
7,5,G1,12.012141213089944
7,5,G2,12.014240143618919
7,5,G3,12.015479831960425
7,5,G4,12.016468471341183
7,5,G5,12.022324534833178
8,2,G1,12.007831422231957
8,2,G2,12.017448306123603
8,3,G1,12.009304291868165
8,3,G2,12.016497209642969
8,3,G3,12.0261590670396
8,4,G1,12.007831422231957
8,4,G2,12.01102335045657
8,4,G3,12.016968205474916
8,4,G4,12.027757559066185
8,5,G1,12.007831422231957
8,5,G2,12.01102335045657
8,5,G3,12.013015152573802
8,5,G4,12.018641843106735
8,5,G5,12.027757559066185
9,2,G1,12.020738160612902
9,2,G2,12.026520046246297
9,3,G1,12.019055305440878
9,3,G2,12.021267318269626
9,3,G3,12.026115213478803
9,4,G1,12.019055305440878
9,4,G2,12.021267318269626
9,4,G3,12.022155392758574
9,4,G4,12.026520046246297
9,5,G1,12.019055305440878
9,5,G2,12.021267318269626
9,5,G3,12.022155392758574
