replicate,group,recommendation,coverage,n_unsolved
0,G1,10.0,1.0,0
0,G2,10.0,1.0,0
0,G3,11.600000000000001,0.8837209302325582,0
0,G4,14.5,0.8125,0
0,G5,23.400000000000002,0.8085106382978723,6
1,G1,12.700000000000001,0.8247422680412371,0
1,G2,15.100000000000001,0.8085106382978723,0
1,G3,17.900000000000002,0.8222222222222222,0
1,G4,20.400000000000002,0.8285714285714286,0
1,G5,25.0,0.46511627906976744,23
2,G1,10.0,1.0,0
2,G2,10.0,1.0,0
2,G3,10.0,0.8113207547169812,0
2,G4,14.9,0.8235294117647058,0
2,G5,25.0,0.7317073170731707,11
3,G1,10.0,1.0,0
3,G2,10.8,0.9310344827586207,0
3,G3,14.100000000000001,0.8571428571428571,0
3,G4,16.8,0.8064516129032258,0
3,G5,25.0,0.6216216216216216,14
4,G1,12.0,0.8288288288288288,0
4,G2,13.9,0.90625,0
4,G3,15.5,0.8222222222222222,0
4,G4,17.8,0.9024390243902439,0
4,G5,24.3,0.8421052631578947,5
5,G1,10.0,1.0,0
5,G2,10.0,1.0,0
5,G3,10.700000000000001,0.803921568627451,0
5,G4,12.8,0.8181818181818182,0
5,G5,20.700000000000003,0.8205128205128205,4
6,G1,10.0,1.0,0
6,G2,11.8,0.8064516129032258,0
6,G3,15.700000000000001,0.8421052631578947,0
6,G4,19.6,0.9487179487179487,0
6,G5,25.0,0.5483870967741935,14
7,G1,10.0,1.0,0
7,G2,10.0,1.0,0
7,G3,11.8,0.86,0
7,G4,14.9,0.8611111111111112,0
7,G5,25.0,0.7804878048780488,9
8,G1,10.0,1.0,0
8,G2,10.0,1.0,0
8,G3,10.0,1.0,0
8,G4,13.5,0.868421052631579,0
8,G5,25.0,0.5714285714285714,15
9,G1,10.0,0.8512396694214877,0
9,G2,12.8,0.8823529411764706,0
9,G3,16.8,0.8214285714285714,0
9,G4,20.6,0.8181818181818182,0
9,G5,25.0,0.275,29
10,G1,12.200000000000001,0.8034188034188035,0
10,G2,14.700000000000001,0.8780487804878049,0
10,G3,17.7,0.8695652173913043,0
10,G4,19.900000000000002,0.8333333333333334,0
10,G5,25.0,0.5384615384615384,18
11,G1,10.0,1.0,0
11,G2,10.0,1.0,0
11,G3,16.7,0.8148148148148148,0
11,G4,25.0,0.9166666666666666,3
11,G5,25.0,0.0,31
12,G1,10.0,0.813953488372093,0
12,G2,12.600000000000001,0.8611111111111112,0
12,G3,16.1,0.8163265306122449,0
12,G4,18.900000000000002,0.8181818181818182,0
12,G5,25.0,0.4838709677419355,16
13,G1,13.0,0.83,0
13,G2,15.100000000000001,0.9333333333333333,0
13,G3,17.5,0.8431372549019608,0
13,G4,20.1,0.9411764705882353,0
13,G5,24.5,0.8076923076923077,10
14,G1,10.0,1.0,0
