replicate,K,boundary_slot,selected_boundary
0,5,1,31.0
0,5,2,32.5
0,5,3,33.5
0,5,4,35.0
1,5,1,31.0
1,5,2,32.0
1,5,3,33.5
1,5,4,35.5
2,5,1,31.0
2,5,2,32.0
2,5,3,33.5
2,5,4,35.5
3,5,1,31.0
3,5,2,32.0
3,5,3,33.0
3,5,4,34.5
4,5,1,31.0
4,5,2,32.0
4,5,3,33.5
4,5,4,35.0
5,5,1,31.0
5,5,2,32.0
5,5,3,33.5
5,5,4,35.0
6,5,1,31.0
6,5,2,32.0
6,5,3,33.5
6,5,4,35.5
7,5,1,31.0
7,5,2,32.0
7,5,3,33.5
7,5,4,35.0
8,5,1,31.0
8,5,2,32.5
8,5,3,33.5
8,5,4,35.0
9,5,1,31.0
9,5,2,32.5
9,5,3,34.0
9,5,4,35.5
10,5,1,31.0
10,5,2,32.0
10,5,3,33.5
10,5,4,35.0
11,5,1,31.0
11,5,2,32.5
11,5,3,33.5
11,5,4,35.0
12,5,1,31.0
12,5,2,32.5
12,5,3,33.5
12,5,4,35.0
13,5,1,31.0
13,5,2,32.0
13,5,3,33.5
13,5,4,35.0
14,5,1,31.0
14,5,2,32.0
14,5,3,33.0
14,5,4,35.0
15,5,1,31.0
15,5,2,32.0
15,5,3,33.5
15,5,4,35.5
16,5,1,31.0
16,5,2,32.5
16,5,3,34.0
16,5,4,35.5
17,5,1,31.0
17,5,2,32.0
17,5,3,33.0
17,5,4,35.0
18,5,1,31.0
18,5,2,32.5
18,5,3,34.0
18,5,4,35.5
19,5,1,31.0
19,5,2,32.5
19,5,3,33.5
19,5,4,35.0
20,5,1,31.0
20,5,2,32.0
20,5,3,33.0
20,5,4,35.0
21,5,1,31.0
21,5,2,32.5
21,5,3,33.5
21,5,4,35.0
22,5,1,31.0
22,5,2,32.0
22,5,3,33.5
22,5,4,35.0
23,5,1,31.0
23,5,2,32.5
23,5,3,33.5
23,5,4,35.5
24,5,1,31.0
24,5,2,32.5
24,5,3,33.5
24,5,4,35.0
25,5,1,31.0
25,5,2,32.0
25,5,3,33.5
25,5,4,35.5
26,5,1,31.0
26,5,2,32.5
26,5,3,33.5
26,5,4,35.0
27,5,1,31.0
27,5,2,32.5
27,5,3,33.5
27,5,4,35.0
28,5,1,31.0
28,5,2,32.5
28,5,3,33.5
28,5,4,35.5
29,5,1,31.0
29,5,2,32.0
29,5,3,33.5
29,5,4,35.0
30,5,1,31.0
30,5,2,32.5
30,5,3,33.5
30,5,4,35.0
31,5,1,31.0
31,5,2,32.5
31,5,3,33.5
31,5,4,35.0
32,5,1,31.0
32,5,2,32.5
32,5,3,34.0
32,5,4,35.5
33,5,1,31.0
33,5,2,32.5
33,5,3,33.5
33,5,4,35.0
34,5,1,31.0
34,5,2,32.0
34,5,3,33.5
34,5,4,35.5
35,5,1,31.0
35,5,2,32.0
35,5,3,33.5
35,5,4,35.0
36,5,1,31.0
36,5,2,32.0
36,5,3,33.5
36,5,4,35.0
37,5,1,31.0
37,5,2,32.0
37,5,3,33.5
37,5,4,35.0
38,5,1,31.0
38,5,2,32.0
38,5,3,33.5
38,5,4,35.5
39,5,1,31.0
39,5,2,32.0
39,5,3,33.5
39,5,4,35.0
40,5,1,31.0
40,5,2,32.0
40,5,3,33.5
40,5,4,35.0
41,5,1,31.0
41,5,2,32.0
41,5,3,33.5
41,5,4,35.0
42,5,1,31.0
42,5,2,32.0
42,5,3,33.5
42,5,4,35.0
43,5,1,31.0
43,5,2,32.5
43,5,3,34.0
43,5,4,35.0
44,5,1,31.5
44,5,2,32.5
44,5,3,34.0
44,5,4,35.5
45,5,1,31.0
45,5,2,32.0
45,5,3,33.5
45,5,4,35.0
46,5,1,31.0
46,5,2,32.5
46,5,3,33.5
46,5,4,35.5
47,5,1,31.0
47,5,2,32.0
47,5,3,33.5
47,5,4,35.0
48,5,1,31.0
48,5,2,32.5
48,5,3,33.5
48,5,4,35.0
49,5,1,31.0
49,5,2,32.5
49,5,3,33.5
49,5,4,35.0
50,5,1,31.0
50,5,2,32.5
50,5,3,33.5
50,5,4,35.5
51,5,1,31.0
51,5,2,32.5
51,5,3,33.5
51,5,4,35.0
52,5,1,31.0
52,5,2,32.0
52,5,3,33.5
52,5,4,35.5
53,5,1,30.5
53,5,2,31.5
53,5,3,33.0
53,5,4,34.5
54,5,1,31.0
54,5,2,32.5
54,5,3,33.5
54,5,4,35.0
55,5,1,31.0
55,5,2,32.0
55,5,3,33.5
55,5,4,35.5
56,5,1,31.0
56,5,2,32.0
56,5,3,33.5
56,5,4,35.0
57,5,1,31.0
57,5,2,32.0
57,5,3,33.5
57,5,4,35.0
58,5,1,30.5
58,5,2,31.5
58,5,3,33.0
58,5,4,34.5
59,5,1,31.0
59,5,2,32.5
59,5,3,34.0
59,5,4,35.5
60,5,1,31.0
60,5,2,32.5
60,5,3,33.5
60,5,4,35.0
61,5,1,31.0
61,5,2,32.5
61,5,3,33.5
61,5,4,35.0
62,5,1,31.0
62,5,2,32.0
62,5,3,33.5
62,5,4,34.5
63,5,1,31.0
63,5,2,32.0
63,5,3,33.0
63,5,4,35.0
64,5,1,31.0
64,5,2,32.5
64,5,3,33.5
64,5,4,35.5
65,5,1,31.0
65,5,2,32.0
65,5,3,33.0
65,5,4,35.0
66,5,1,31.0
66,5,2,32.5
66,5,3,33.5
66,5,4,35.0
67,5,1,31.0
67,5,2,32.5
67,5,3,33.5
67,5,4,35.0
68,5,1,31.0
68,5,2,32.0
68,5,3,33.5
68,5,4,35.0
69,5,1,31.0
69,5,2,32.0
69,5,3,33.5
69,5,4,35.0
70,5,1,31.0
70,5,2,32.0
70,5,3,33.5
70,5,4,35.0
71,5,1,31.0
71,5,2,32.0
71,5,3,33.5
71,5,4,35.0
72,5,1,31.0
72,5,2,32.0
72,5,3,33.0
72,5,4,35.0
73,5,1,31.0
73,5,2,32.0
73,5,3,34.0
73,5,4,35.5
74,5,1,31.0
74,5,2,32.5
74,5,3,33.5
74,5,4,35.0
75,5,1,31.0
75,5,2,32.0
75,5,3,33.5
75,5,4,35.0
76,5,1,31.0
76,5,2,32.5
76,5,3,33.5
76,5,4,35.0
77,5,1,31.0
77,5,2,32.0
77,5,3,33.5
77,5,4,35.0
78,5,1,31.0
78,5,2,32.0
78,5,3,33.5
78,5,4,35.5
79,5,1,31.0
79,5,2,32.5
79,5,3,33.5
79,5,4,35.0
80,5,1,31.0
80,5,2,32.0
80,5,3,33.5
80,5,4,35.5
81,5,1,31.0
81,5,2,32.5
81,5,3,33.5
81,5,4,35.0
82,5,1,31.0
82,5,2,32.0
82,5,3,33.5
82,5,4,35.0
83,5,1,31.0
83,5,2,32.0
83,5,3,33.5
83,5,4,35.5
84,5,1,31.0
84,5,2,32.0
84,5,3,33.5
84,5,4,35.0
85,5,1,31.0
85,5,2,32.0
85,5,3,33.5
85,5,4,35.0
86,5,1,31.0
86,5,2,32.0
86,5,3,33.5
86,5,4,35.0
87,5,1,31.0
87,5,2,32.0
87,5,3,33.5
87,5,4,35.0
88,5,1,31.0
88,5,2,32.5
88,5,3,33.5
88,5,4,35.0
89,5,1,31.0
89,5,2,32.0
89,5,3,33.0
89,5,4,35.0
90,5,1,31.0
90,5,2,32.0
90,5,3,33.5
90,5,4,35.0
91,5,1,31.0
91,5,2,32.0
91,5,3,33.5
91,5,4,35.0
92,5,1,31.0
92,5,2,32.5
92,5,3,33.5
92,5,4,35.0
93,5,1,31.0
93,5,2,32.0
93,5,3,33.5
93,5,4,35.5
94,5,1,31.0
94,5,2,32.0
94,5,3,33.5
94,5,4,35.0
95,5,1,31.0
95,5,2,32.0
95,5,3,33.5
95,5,4,35.0
96,5,1,31.0
96,5,2,32.0
96,5,3,33.0
96,5,4,35.0
97,5,1,31.0
97,5,2,32.5
97,5,3,33.5
97,5,4,35.5
98,5,1,31.0
98,5,2,32.0
98,5,3,33.0
98,5,4,35.0
99,5,1,31.0
99,5,2,32.0
99,5,3,33.5
99,5,4,35.0
100,5,1,31.0
100,5,2,32.5
100,5,3,33.5
100,5,4,35.5
101,5,1,31.0
101,5,2,32.5
101,5,3,34.0
101,5,4,35.5
102,5,1,31.0
102,5,2,32.5
102,5,3,33.5
102,5,4,35.0
103,5,1,31.0
103,5,2,32.0
103,5,3,33.5
103,5,4,35.0
104,5,1,31.0
104,5,2,32.0
104,5,3,33.5
104,5,4,35.0
105,5,1,31.0
105,5,2,32.5
105,5,3,33.0
105,5,4,34.5
106,5,1,31.0
106,5,2,32.0
106,5,3,33.0
106,5,4,35.0
107,5,1,31.0
107,5,2,32.5
107,5,3,33.5
107,5,4,35.0
108,5,1,31.0
108,5,2,32.0
108,5,3,33.5
108,5,4,35.0
109,5,1,31.0
109,5,2,32.5
109,5,3,33.5
109,5,4,35.5
110,5,1,31.0
110,5,2,32.5
110,5,3,33.5
110,5,4,35.0
111,5,1,31.0
111,5,2,32.0
111,5,3,33.5
111,5,4,35.0
112,5,1,31.0
112,5,2,32.5
112,5,3,34.0
112,5,4,35.5
113,5,1,31.0
113,5,2,32.5
113,5,3,33.5
113,5,4,35.0
114,5,1,31.0
114,5,2,32.5
114,5,3,34.0
114,5,4,35.5
115,5,1,31.0
115,5,2,32.5
115,5,3,33.5
115,5,4,35.0
116,5,1,31.0
116,5,2,32.0
116,5,3,33.0
116,5,4,34.5
117,5,1,31.0
117,5,2,32.0
117,5,3,33.5
117,5,4,35.0
118,5,1,31.0
118,5,2,32.0
118,5,3,33.0
118,5,4,35.0
119,5,1,31.0
119,5,2,32.5
119,5,3,33.5
119,5,4,35.0
120,5,1,31.0
120,5,2,32.5
120,5,3,34.0
120,5,4,35.5
121,5,1,31.0
121,5,2,32.0
121,5,3,33.5
121,5,4,35.0
122,5,1,31.0
122,5,2,32.5
122,5,3,33.5
122,5,4,35.5
123,5,1,31.0
123,5,2,32.0
123,5,3,33.5
123,5,4,35.0
124,5,1,31.0
124,5,2,32.5
124,5,3,33.5
124,5,4,35.0
125,5,1,31.0
125,5,2,32.0
125,5,3,33.5
125,5,4,35.5
126,5,1,31.0
126,5,2,32.5
126,5,3,33.5
126,5,4,35.5
127,5,1,31.0
127,5,2,32.0
127,5,3,33.5
127,5,4,35.0
128,5,1,31.0
128,5,2,32.5
128,5,3,33.5
128,5,4,35.0
129,5,1,31.0
129,5,2,32.0
129,5,3,33.5
129,5,4,35.0
130,5,1,31.0
130,5,2,32.5
130,5,3,33.5
130,5,4,35.0
131,5,1,31.0
131,5,2,32.0
131,5,3,33.5
131,5,4,35.0
132,5,1,31.0
132,5,2,32.0
132,5,3,33.0
132,5,4,34.5
133,5,1,31.0
133,5,2,32.5
133,5,3,33.5
133,5,4,35.0
134,5,1,31.0
134,5,2,32.0
134,5,3,33.0
134,5,4,35.0
135,5,1,31.0
135,5,2,32.5
135,5,3,33.5
135,5,4,35.5
136,5,1,31.0
136,5,2,32.0
136,5,3,33.5
136,5,4,35.0
137,5,1,31.0
137,5,2,32.0
137,5,3,33.5
137,5,4,35.5
138,5,1,31.0
138,5,2,32.0
138,5,3,33.5
138,5,4,35.0
139,5,1,31.0
139,5,2,32.0
139,5,3,33.5
139,5,4,35.0
140,5,1,31.0
140,5,2,32.0
140,5,3,33.5
140,5,4,35.0
141,5,1,31.0
141,5,2,32.5
141,5,3,33.5
141,5,4,35.0
142,5,1,31.0
142,5,2,32.0
142,5,3,33.5
142,5,4,35.5
143,5,1,31.0
143,5,2,32.0
143,5,3,33.5
143,5,4,35.0
144,5,1,31.0
144,5,2,32.5
144,5,3,33.5
144,5,4,35.5
145,5,1,31.0
145,5,2,32.0
145,5,3,33.5
145,5,4,35.0
146,5,1,31.0
146,5,2,32.5
146,5,3,33.5
146,5,4,35.0
147,5,1,31.0
147,5,2,32.0
147,5,3,33.5
147,5,4,35.0
148,5,1,31.0
148,5,2,32.5
148,5,3,33.5
148,5,4,36.0
149,5,1,31.0
149,5,2,32.0
149,5,3,33.5
149,5,4,35.0
150,5,1,30.5
150,5,2,31.5
150,5,3,33.0
150,5,4,34.5
151,5,1,31.0
151,5,2,32.5
151,5,3,33.5
151,5,4,35.0
152,5,1,31.0
152,5,2,32.0
152,5,3,33.5
152,5,4,35.0
153,5,1,31.0
153,5,2,33.0
153,5,3,34.0
153,5,4,36.0
154,5,1,31.0
154,5,2,32.5
154,5,3,33.5
154,5,4,35.0
155,5,1,31.0
155,5,2,32.5
155,5,3,33.5
155,5,4,35.0
156,5,1,31.5
156,5,2,32.5
156,5,3,33.5
156,5,4,35.5
157,5,1,31.0
157,5,2,32.0
157,5,3,33.5
157,5,4,35.0
158,5,1,31.0
158,5,2,32.0
158,5,3,33.0
158,5,4,34.5
159,5,1,30.5
159,5,2,31.5
159,5,3,33.0
159,5,4,34.5
160,5,1,31.0
160,5,2,32.0
160,5,3,33.5
160,5,4,35.0
161,5,1,31.0
161,5,2,32.5
161,5,3,33.5
161,5,4,35.0
162,5,1,31.0
162,5,2,32.5
162,5,3,33.5
162,5,4,35.0
163,5,1,31.0
163,5,2,32.0
163,5,3,33.5
163,5,4,35.0
164,5,1,31.0
164,5,2,32.5
164,5,3,33.5
164,5,4,35.5
165,5,1,31.0
165,5,2,32.0
165,5,3,33.5
165,5,4,35.0
166,5,1,30.5
166,5,2,31.5
166,5,3,33.0
166,5,4,34.5
167,5,1,31.0
167,5,2,32.0
167,5,3,33.5
167,5,4,35.0
168,5,1,31.0
168,5,2,32.0
168,5,3,33.0
168,5,4,34.5
169,5,1,31.0
169,5,2,32.5
169,5,3,33.5
169,5,4,35.0
170,5,1,31.0
170,5,2,32.0
170,5,3,33.0
170,5,4,35.0
171,5,1,31.0
171,5,2,32.0
171,5,3,33.5
171,5,4,35.0
172,5,1,31.0
172,5,2,32.5
172,5,3,33.5
172,5,4,35.5
173,5,1,31.0
173,5,2,32.0
173,5,3,33.5
173,5,4,35.0
174,5,1,31.0
174,5,2,32.0
174,5,3,33.5
174,5,4,35.0
175,5,1,31.0
175,5,2,32.0
175,5,3,33.5
175,5,4,35.0
176,5,1,31.0
176,5,2,32.5
176,5,3,33.5
176,5,4,35.0
177,5,1,31.0
177,5,2,32.0
177,5,3,33.5
177,5,4,35.5
178,5,1,31.0
178,5,2,32.0
178,5,3,33.5
178,5,4,35.0
179,5,1,30.5
179,5,2,31.5
179,5,3,33.0
179,5,4,35.0
180,5,1,31.0
180,5,2,32.0
180,5,3,33.5
180,5,4,35.0
181,5,1,31.0
181,5,2,32.0
181,5,3,33.0
181,5,4,35.0
182,5,1,31.0
182,5,2,32.0
182,5,3,33.5
182,5,4,35.0
183,5,1,31.0
183,5,2,32.5
183,5,3,33.5
183,5,4,35.0
184,5,1,31.0
184,5,2,32.0
184,5,3,33.0
184,5,4,35.0
185,5,1,31.0
185,5,2,32.0
185,5,3,33.0
185,5,4,35.0
186,5,1,31.0
186,5,2,32.5
186,5,3,33.5
186,5,4,35.0
187,5,1,31.0
187,5,2,32.0
187,5,3,33.5
187,5,4,35.5
188,5,1,31.0
188,5,2,32.0
188,5,3,33.5
188,5,4,35.0
189,5,1,31.0
189,5,2,32.0
189,5,3,34.0
189,5,4,35.5
190,5,1,31.0
190,5,2,32.0
190,5,3,33.5
190,5,4,35.0
191,5,1,31.0
191,5,2,32.0
191,5,3,33.5
191,5,4,35.0
192,5,1,31.0
192,5,2,32.5
192,5,3,33.5
192,5,4,35.0
193,5,1,31.0
193,5,2,32.0
193,5,3,33.5
193,5,4,35.0
194,5,1,31.0
194,5,2,32.0
194,5,3,33.5
194,5,4,34.5
195,5,1,31.0
195,5,2,32.5
195,5,3,33.5
195,5,4,35.0
196,5,1,31.0
196,5,2,32.0
196,5,3,33.5
196,5,4,35.0
197,5,1,31.0
197,5,2,32.5
197,5,3,33.5
197,5,4,35.0
198,5,1,31.0
198,5,2,32.0
198,5,3,33.5
198,5,4,35.5
199,5,1,31.0
199,5,2,32.5
199,5,3,33.5
199,5,4,35.0
200,5,1,31.0
200,5,2,32.5
200,5,3,33.5
200,5,4,35.0
201,5,1,31.0
201,5,2,32.5
201,5,3,33.5
201,5,4,35.0
202,5,1,31.0
202,5,2,32.0
202,5,3,33.5
202,5,4,35.0
203,5,1,31.0
203,5,2,32.0
203,5,3,33.5
203,5,4,35.5
204,5,1,31.0
204,5,2,32.5
204,5,3,33.5
204,5,4,35.0
205,5,1,31.0
205,5,2,32.5
205,5,3,33.5
205,5,4,35.0
206,5,1,31.0
206,5,2,32.0
206,5,3,33.5
206,5,4,35.0
207,5,1,31.0
207,5,2,32.0
207,5,3,33.5
207,5,4,35.0
208,5,1,31.0
208,5,2,32.5
208,5,3,33.5
208,5,4,35.0
209,5,1,31.0
209,5,2,32.0
209,5,3,33.0
209,5,4,35.0
210,5,1,31.0
210,5,2,32.0
210,5,3,33.5
210,5,4,35.0
211,5,1,31.0
211,5,2,32.0
211,5,3,33.5
211,5,4,35.0
212,5,1,31.0
212,5,2,32.0
212,5,3,33.5
212,5,4,35.5
213,5,1,31.0
213,5,2,32.0
213,5,3,33.5
213,5,4,35.0
214,5,1,31.0
214,5,2,32.5
214,5,3,33.5
214,5,4,35.5
215,5,1,31.0
215,5,2,32.5
215,5,3,33.5
215,5,4,35.0
216,5,1,31.0
216,5,2,32.0
216,5,3,33.5
216,5,4,35.0
217,5,1,31.0
217,5,2,32.0
217,5,3,33.5
217,5,4,35.0
218,5,1,31.0
218,5,2,32.0
218,5,3,33.5
218,5,4,35.0
219,5,1,31.0
219,5,2,32.5
219,5,3,33.5
