sigma_factor,sigma,group,FNR,FPR
0.0,0.0,G1,0.0,0.0
0.0,0.0,G2,0.0,0.0
0.0,0.0,G3,0.0,0.0
0.0,0.0,G4,0.0,0.0
0.0,0.0,G5,0.0,0.0
0.5,0.0665,G1,0.009366666666666667,0.008233333333333334
0.5,0.0665,G2,0.009566666666666666,0.008266666666666667
0.5,0.0665,G3,0.010266666666666667,0.009066666666666667
0.5,0.0665,G4,0.0098,0.008366666666666666
0.5,0.0665,G5,0.009766666666666667,0.008066666666666666
1.0,0.133,G1,0.021466666666666665,0.015966666666666667
1.0,0.133,G2,0.019933333333333334,0.0168
1.0,0.133,G3,0.019366666666666667,0.0155
1.0,0.133,G4,0.021366666666666666,0.015466666666666667
1.0,0.133,G5,0.0187,0.015733333333333332
2.0,0.266,G1,0.0444,0.028433333333333335
2.0,0.266,G2,0.04586666666666667,0.0284
2.0,0.266,G3,0.044333333333333336,0.028566666666666667
2.0,0.266,G4,0.04466666666666667,0.0274
2.0,0.266,G5,0.046733333333333335,0.028866666666666665
