replicate,K,mean_loss,boundaries,times,valid_time_separation
0,1,7.868986690246029,,18.2,True
0,2,3.856053691873273,32.0,10.6|22.6,True
0,3,1.6431418487050768,31.5|34.0,10.0|16.2|25.0,True
0,4,1.0886561409887232,31.5|33.5|35.0,10.0|16.1|19.3|25.0,True
0,5,0.822332923126303,31.0|32.5|33.5|35.0,10.0|13.7|16.2|19.3|25.0,True
1,1,8.04223349892776,,18.5,True
1,2,3.6639121752983868,32.0,10.9|22.2,True
1,3,1.7518336539527062,31.5|34.0,10.2|16.5|25.0,True
1,4,1.2056421126377566,31.5|33.5|35.5,10.2|16.0|19.8|25.0,True
1,5,0.8403739379859207,31.0|32.0|33.5|35.5,10.0|12.4|16.1|19.8|25.0,True
2,1,8.953551320950698,,19.1,True
2,2,3.2232758448456615,32.5,11.6|24.8,True
2,3,1.6526715548104693,31.5|34.0,10.4|16.1|25.0,True
2,4,1.1229286081564998,31.0|32.5|34.5,10.0|13.1|18.1|25.0,True
2,5,0.8562025825383933,31.0|32.0|33.5|35.5,10.0|12.5|16.0|20.7|25.0,True
3,1,7.874505204901175,,17.3,True
3,2,3.5869237868801833,33.0,12.9|25.0,True
3,3,1.6324676673081129,31.5|34.0,10.1|16.0|25.0,True
3,4,1.0831029250906052,31.5|33.0|34.5,10.1|14.7|18.6|25.0,True
3,5,0.7774339866302582,31.0|32.0|33.0|34.5,10.0|12.4|14.8|18.6|25.0,True
4,1,8.82480561272681,,19.1,True
4,2,3.535760492208584,33.0,13.0|25.0,True
4,3,1.6850315437165229,31.5|34.5,10.0|18.1|25.0,True
4,4,0.9907264027025502,31.5|33.0|35.0,10.0|15.0|19.2|25.0,True
4,5,0.7471601272464972,31.0|32.0|33.5|35.0,10.0|12.6|15.7|19.7|25.0,True
5,1,8.164264445836476,,18.6,True
5,2,3.3665724992056174,32.0,10.9|22.2,True
5,3,1.605498724730854,31.5|34.5,10.0|17.3|25.0,True
5,4,1.178462289515605,31.0|32.5|34.5,10.0|13.1|17.4|25.0,True
5,5,0.9297317555183734,31.0|32.0|33.5|35.0,10.0|12.5|16.2|19.3|25.0,True
6,1,8.004535467420885,,18.4,True
6,2,3.2684342520764447,32.0,10.5|23.1,True
6,3,1.5678154006452685,31.5|34.5,10.0|18.0|25.0,True
6,4,0.9962628954665542,31.5|33.5|35.5,10.0|16.0|19.7|25.0,True
6,5,0.7128634507989854,31.0|32.0|33.5|35.5,10.0|12.6|16.1|19.7|25.0,True
7,1,8.166178396131308,,18.5,True
7,2,3.3732604635099825,32.0,10.7|23.3,True
7,3,1.5576408291346935,31.5|35.0,10.4|18.5|25.0,True
7,4,1.0186162153802674,31.0|32.5|35.0,10.0|13.2|19.0|25.0,True
7,5,0.725896346251163,31.0|32.0|33.5|35.0,10.0|12.4|16.1|19.1|25.0,True
8,1,8.234259854701756,,18.4,True
8,2,3.55379779604112,32.0,10.1|23.3,True
8,3,1.5247243371184205,31.5|34.5,10.0|17.3|25.0,True
8,4,1.0498288874952801,31.5|33.5|35.0,10.0|16.0|19.7|25.0,True
8,5,0.7726638046828899,31.0|32.5|33.5|35.0,10.0|13.7|16.2|19.7|25.0,True
9,1,8.224884070442148,,19.3,True
9,2,3.6707125105643983,32.0,10.6|23.2,True
9,3,1.729074329399723,31.5|34.5,10.2|18.1|25.0,True
9,4,1.195938045758589,31.0|33.0|35.0,10.0|14.6|19.1|25.0,True
9,5,0.9237461934099419,31.0|32.5|34.0|35.5,10.0|13.3|17.3|20.5|25.0,True
10,1,8.073634638533576,,19.0,True
10,2,3.314248126209643,32.5,12.3|23.1,True
10,3,1.8575249211042058,31.5|34.0,10.0|16.2|24.8,True
10,4,1.1301936374628951,31.0|32.5|35.0,10.0|13.1|19.2|25.0,True
10,5,0.8608428096894374,31.0|32.0|33.5|35.0,10.0|12.4|16.1|19.7|25.0,True
11,1,7.862182445758453,,18.4,True
11,2,3.3197277213310192,32.0,10.5|21.9,True
11,3,1.5844594814796236,31.5|34.0,10.1|16.5|25.0,True
11,4,1.1509002859866129,31.5|33.0|35.0,10.1|15.0|19.1|25.0,True
11,5,0.9109922115529282,31.0|32.5|33.5|35.0,10.0|13.8|16.3|19.7|25.0,True
12,1,8.298042626618122,,18.5,True
12,2,3.5270249758408068,32.0,10.4|23.1,True
12,3,1.5240355591988486,31.5|34.5,10.0|17.7|25.0,True
12,4,0.9843395312542234,31.5|33.5|35.0,10.0|15.5|19.0|25.0,True
12,5,0.7920040229221588,31.0|32.5|33.5|35.0,10.0|13.8|16.1|19.0|25.0,True
13,1,7.63972964203274,,18.4,True
13,2,3.554411701961224,32.0,10.7|22.1,True
13,3,1.723715713397479,31.5|34.0,10.0|16.6|25.0,True
13,4,1.1652422443308386,31.5|33.5|35.0,10.0|16.0|19.7|25.0,True
13,5,0.8371947190511564,31.0|32.0|33.5|35.0,10.0|12.4|16.1|19.7|25.0,True
14,1,8.004501585752214,,17.7,True
14,2,3.4966354233363135,32.5,12.1|22.8,True
14,3,1.7054122870512431,31.5|34.0,10.2|16.2|25.0,True
