ga,group,loss,t_star
10.0,G1,0.0994101159933749,10.0
10.1,G1,0.15332396574680562,10.0
10.2,G1,0.22312118693130847,10.0
10.3,G1,0.2968711461868778,10.0
10.4,G1,0.3805359702236225,10.0
10.5,G1,0.4751474710016562,10.0
10.6,G1,0.575147471001656,10.0
10.7,G1,0.6751474710016558,10.0
10.8,G1,0.7751474710016569,10.0
10.9,G1,0.8751474710016568,10.0
11.0,G1,0.9751474710016564,10.0
11.1,G1,1.0751474710016555,10.0
11.2,G1,1.1751474710016556,10.0
11.3,G1,1.2751474710016573,10.0
11.4,G1,1.375147471001657,10.0
11.5,G1,1.4751474710016563,10.0
11.6,G1,1.575147471001656,10.0
11.7,G1,1.6751474710016547,10.0
11.8,G1,1.7751474710016573,10.0
11.9,G1,1.8751474710016565,10.0
12.0,G1,1.9751474710016563,10.0
12.1,G1,2.075147471001656,10.0
12.2,G1,2.175147471001655,10.0
12.3,G1,2.2751474710016573,10.0
12.4,G1,2.375147471001656,10.0
12.5,G1,2.4751474710016557,10.0
12.6,G1,2.575147471001658,10.0
12.7,G1,2.675147471001655,10.0
12.8,G1,2.7751474710016577,10.0
12.9,G1,2.875147471001655,10.0
13.0,G1,2.975147471001656,10.0
13.1,G1,3.075147471001658,10.0
13.2,G1,3.1751474710016563,10.0
13.3,G1,3.275147471001657,10.0
13.4,G1,3.375147471001655,10.0
13.5,G1,3.475147471001656,10.0
13.6,G1,3.575147471001658,10.0
13.7,G1,3.6751474710016563,10.0
13.8,G1,3.775147471001657,10.0
13.9,G1,3.875147471001655,10.0
14.0,G1,3.975147471001656,10.0
14.1,G1,4.0751474710016575,10.0
14.2,G1,4.175147471001656,10.0
14.3,G1,4.275147471001657,10.0
14.4,G1,4.375147471001655,10.0
14.5,G1,4.475147471001656,10.0
14.6,G1,4.5751474710016575,10.0
14.7,G1,4.675147471001656,10.0
14.8,G1,4.775147471001655,10.0
14.9,G1,4.875147471001656,10.0
15.0,G1,4.975147471001656,10.0
15.1,G1,5.075147471001657,10.0
15.2,G1,5.175147471001659,10.0
15.3,G1,5.275147471001654,10.0
15.4,G1,5.3751474710016565,10.0
15.5,G1,5.475147471001656,10.0
15.6,G1,5.575147471001657,10.0
15.7,G1,5.675147471001659,10.0
15.8,G1,5.775147471001654,10.0
15.9,G1,5.8751474710016565,10.0
16.0,G1,5.975147471001656,10.0
16.1,G1,6.075147471001657,10.0
16.2,G1,6.175147471001659,10.0
16.3,G1,6.275147471001654,10.0
16.4,G1,6.375147471001655,10.0
16.5,G1,6.475147471001656,10.0
16.6,G1,6.575147471001657,10.0
16.7,G1,6.675147471001659,10.0
16.8,G1,6.775147471001653,10.0
16.9,G1,6.875147471001655,10.0
17.0,G1,6.975147471001656,10.0
17.1,G1,7.075147471001657,10.0
17.2,G1,7.175147471001659,10.0
17.3,G1,7.275147471001653,10.0
17.4,G1,7.3751474710016565,10.0
17.5,G1,7.475147471001656,10.0
17.6,G1,7.575147471001657,10.0
17.7,G1,7.675147471001659,10.0
17.8,G1,7.775147471001653,10.0
17.9,G1,7.8751474710016565,10.0
18.0,G1,7.975147471001656,10.0
18.1,G1,8.075147471001657,10.0
18.2,G1,8.17514747100166,10.0
18.3,G1,8.275147471001652,10.0
18.4,G1,8.375147471001657,10.0
18.5,G1,8.475147471001655,10.0
18.6,G1,8.575147471001657,10.0
18.7,G1,8.67514747100166,10.0
18.8,G1,8.775147471001652,10.0
18.9,G1,8.875147471001657,10.0
19.0,G1,8.975147471001655,10.0
19.1,G1,9.075147471001657,10.0
19.2,G1,9.17514747100166,10.0
19.3,G1,9.275147471001652,10.0
19.4,G1,9.375147471001657,10.0
19.5,G1,9.475147471001655,10.0
19.6,G1,9.575147471001653,10.0
19.7,G1,9.67514747100166,10.0
19.8,G1,9.775147471001652,10.0
19.9,G1,9.875147471001661,10.0
20.0,G1,9.975147471001657,10.0
20.1,G1,10.075147471001651,10.0
20.2,G1,10.17514747100166,10.0
20.3,G1,10.275147471001652,10.0
20.4,G1,10.375147471001661,10.0
20.5,G1,10.475147471001657,10.0
20.6,G1,10.575147471001651,10.0
20.7,G1,10.675147471001658,10.0
20.8,G1,10.775147471001652,10.0
20.9,G1,10.875147471001661,10.0
21.0,G1,10.975147471001657,10.0
21.1,G1,11.075147471001651,10.0
21.2,G1,11.175147471001658,10.0
