sigma_factor,sigma,group,t_p0.80_p80,delta_t,n_unsolved
0.0,0.0,G1,10.0,0.0,0
0.0,0.0,G2,12.4,0.0,0
0.0,0.0,G3,16.1,0.0,0
0.0,0.0,G4,19.3,0.0,0
0.0,0.0,G5,25.0,0.0,17
0.5,0.0665,G1,10.0,0.0,0
0.5,0.0665,G2,12.700000000000001,0.3000000000000007,0
0.5,0.0665,G3,16.400000000000002,0.3000000000000007,0
0.5,0.0665,G4,19.6,0.3000000000000007,0
0.5,0.0665,G5,25.0,0.0,19
1.0,0.133,G1,10.600000000000001,0.6000000000000014,0
1.0,0.133,G2,13.4,1.0,0
1.0,0.133,G3,17.1,1.0,0
1.0,0.133,G4,20.3,1.0,0
1.0,0.133,G5,25.0,0.0,21
2.0,0.266,G1,12.9,2.9000000000000004,0
2.0,0.266,G2,15.8,3.4000000000000004,0
2.0,0.266,G3,19.400000000000002,3.3000000000000007,0
2.0,0.266,G4,22.700000000000003,3.400000000000002,0
2.0,0.266,G5,25.0,0.0,34
