ga,bmi,p_lookup,p_direct,absolute_error
10.0,28.0,0.7210932905504991,0.7210936975743265,4.0702382742008325e-07
10.0,32.0,0.6603515453812265,0.6603518052934754,2.5991224883448183e-07
10.0,36.0,0.5965365469698937,0.596536681430171,1.344602773567516e-07
12.0,28.0,0.8354198795800292,0.8354204764773878,5.96897358651205e-07
12.0,32.0,0.7854329234430624,0.7854334458586958,5.224156334193708e-07
12.0,36.0,0.7286122697921732,0.7286127056171473,4.358249741098774e-07
16.0,28.0,0.8528459272178938,0.8528464321296441,5.049117502986533e-07
16.0,32.0,0.8034861482381168,0.8034865801062806,4.318681637860422e-07
16.0,36.0,0.7466353053141093,0.746635659863682,3.545495727008685e-07
20.0,28.0,0.834382064966934,0.8343825752117313,5.102447973026614e-07
20.0,32.0,0.7825209540276691,0.7825214221304968,4.681028277220278e-07
20.0,36.0,0.7237486071928636,0.7237489683830535,3.6119018986813245e-07
25.0,28.0,0.914011969585343,0.9140126152381549,6.456528118814475e-07
25.0,32.0,0.8820432677222191,0.8820439589945379,6.912723188312597e-07
25.0,36.0,0.8430106656065556,0.8430113700220432,7.044154876068021e-07
