replicate,group,ga,p
0,G1,10.0,0.7583128811749542
0,G1,10.1,0.7590527136269283
0,G1,10.2,0.7597915019328946
0,G1,10.3,0.7605292436572644
0,G1,10.4,0.7612659361200524
0,G1,10.5,0.7620015829588068
0,G1,10.6,0.7627361723842486
0,G1,10.7,0.7634696948968257
0,G1,10.8,0.764202154324972
0,G1,10.9,0.7649335486779056
0,G1,11.0,0.7656638751387871
0,G1,11.1,0.7663931377352761
0,G1,11.2,0.7671213234898694
0,G1,11.3,0.7678484240388008
0,G1,11.4,0.7685744428320084
0,G1,11.5,0.7692993786534518
0,G1,11.6,0.7700232285204179
0,G1,11.7,0.7707459967043525
0,G1,11.8,0.7714676693089481
0,G1,11.9,0.7721882391770784
0,G1,12.0,0.7729077088783971
0,G1,12.1,0.7736260783040352
0,G1,12.2,0.7743433443509375
0,G1,12.3,0.7750595113879678
0,G1,12.4,0.7757745647292994
0,G1,12.5,0.7764884982790958
0,G1,12.6,0.7772013140066022
0,G1,12.7,0.7779130125741113
0,G1,12.8,0.778623590890041
0,G1,12.9,0.7793330535441589
0,G1,13.0,0.7800413847743267
0,G1,13.1,0.7807485799330424
0,G1,13.2,0.7814546402462922
0,G1,13.3,0.7821595670799302
0,G1,13.4,0.7828633572531142
0,G1,13.5,0.783566015570599
0,G1,13.6,0.7842675255045731
0,G1,13.7,0.7849678836144157
0,G1,13.8,0.7856670904019992
0,G1,13.9,0.7863651480927735
0,G1,14.0,0.7870620533239813
0,G1,14.1,0.787757810960292
0,G1,14.2,0.7884524038805026
0,G1,14.3,0.7891458296777346
0,G1,14.4,0.7898380885422057
0,G1,14.5,0.7905291832235882
0,G1,14.6,0.7912191102238026
0,G1,14.7,0.7919078742134893
0,G1,14.8,0.7925954580913802
0,G1,14.9,0.7932818600865994
0,G1,15.0,0.7939670800524548
0,G1,15.1,0.7946511215266147
0,G1,15.2,0.795333980574806
0,G1,15.3,0.7960156617950125
0,G1,15.4,0.7966961480596535
0,G1,15.5,0.7973754382626497
0,G1,15.6,0.7980535320490572
0,G1,15.7,0.7987304336713666
0,G1,15.8,0.7994061389184454
0,G1,15.9,0.8000806517909197
0,G1,16.0,0.8007539557182074
0,G1,16.1,0.8014260496475529
0,G1,16.2,0.8020969339400399
0,G1,16.3,0.8027666126972857
0,G1,16.4,0.8034350818073708
0,G1,16.5,0.8041023445786655
0,G1,16.6,0.8047683849678386
0,G1,16.7,0.8054332020793643
0,G1,16.8,0.8060967971074907
0,G1,16.9,0.8067591736061708
0,G1,17.0,0.8074203281490934
0,G1,17.1,0.8080802629069342
0,G1,17.2,0.8087389621096296
0,G1,17.3,0.8093964258107212
0,G1,17.4,0.8100526555614556
0,G1,17.5,0.8107076541643675
0,G1,17.6,0.8113614195170247
0,G1,17.7,0.812013951905097
0,G1,17.8,0.8126652362781769
0,G1,17.9,0.8133152736856273
0,G1,18.0,0.8139640659531622
0,G1,18.1,0.8146116149617175
0,G1,18.2,0.8152579200613009
0,G1,18.3,0.8159029795906332
0,G1,18.4,0.8165467793501443
0,G1,18.5,0.817189321347532
0,G1,18.6,0.8178306078135492
0,G1,18.7,0.818470639321921
0,G1,18.8,0.8191094170017943
0,G1,18.9,0.8197469371285622
0,G1,19.0,0.8203831862881563
0,G1,19.1,0.8210181677504991
0,G1,19.2,0.8216518835820428
0,G1,19.3,0.822284333685866
0,G1,19.4,0.8229155205964365
0,G1,19.5,0.8235454387213884
0,G1,19.6,0.8241740751930631
0,G1,19.7,0.824801434778211
0,G1,19.8,0.8254275190837477
0,G1,19.9,0.8260523278157098
0,G1,20.0,0.8266758643219988
0,G1,20.1,0.8272981217057391
0,G1,20.2,0.8279190873850427
0,G1,20.3,0.8285387676316409
0,G1,20.4,0.8291571636115399
0,G1,20.5,0.8297742746345064
0,G1,20.6,0.8303901052908154
0,G1,20.7,0.8310046468439178
0,G1,20.8,0.8316178876026704
0,G1,20.9,0.8322298349764485
0,G1,21.0,0.8328404895644982
0,G1,21.1,0.8334498506141553
0,G1,21.2,0.834057923765767
0,G1,21.3,0.8346646984613204
0,G1,21.4,0.8352701641565332
0,G1,21.5,0.8358743288843213
0,G1,21.6,0.8364771929655042
0,G1,21.7,0.8370787558427885
0,G1,21.8,0.8376790236462145
0,G1,21.9,0.8382779844781055
0,G1,22.0,0.8388756288102348
0,G1,22.1,0.8394719649089066
0,G1,22.2,0.8400669935134798
0,G1,22.3,0.8406607138403093
0,G1,22.4,0.8412531324657888
0,G1,22.5,0.8418442362172376
0,G1,22.6,0.8424340168995983
0,G1,22.7,0.8430224824712356
0,G1,22.8,0.8436096344073256
0,G1,22.9,0.8441954716798585
0,G1,23.0,0.8447800011803114
0,G1,23.1,0.8453632085794481
0,G1,23.2,0.8459450873685057
0,G1,23.3,0.8465256444196678
0,G1,23.4,0.8471048824389572
0,G1,23.5,0.8476828001253923
0,G1,23.6,0.8482594044087359
0,G1,23.7,0.8488346803087048
0,G1,23.8,0.8494086225929055
0,G1,23.9,0.8499812372281917
0,G1,24.0,0.8505525279710721
0,G1,24.1,0.8511224933779306
0,G1,24.2,0.8516911405697959
0,G1,24.3,0.8522584534600285
0,G1,24.4,0.8528244285677711
0,G1,24.5,0.8533890709822891
0,G1,24.6,0.8539523851632304
0,G1,24.7,0.8545143695265578
0,G1,24.8,0.8550750314268436
0,G1,24.9,0.855634353943403
0,G1,25.0,0.8561923351206832
0,G2,10.0,0.6469476479639955
0,G2,10.1,0.6477936596029169
0,G2,10.2,0.6486391786628445
0,G2,10.3,0.6494842035031869
0,G2,10.4,0.6503287363521161
0,G2,10.5,0.6511727702425707
0,G2,10.6,0.6520163125327202
0,G2,10.7,0.6528593540223873
0,G2,10.8,0.6537018736611988
0,G2,10.9,0.6545438734417992
0,G2,11.0,0.6553853532500165
0,G2,11.1,0.6562263068443559
0,G2,11.2,0.6570667429871775
0,G2,11.3,0.6579066503773047
0,G2,11.4,0.6587460067148908
0,G2,11.5,0.6595848178111233
0,G2,11.6,0.6604230813120385
0,G2,11.7,0.6612607914250243
0,G2,11.8,0.662097958490237
0,G2,11.9,0.6629345687961055
0,G2,12.0,0.6637705994292047
0,G2,12.1,0.6646060593798266
0,G2,12.2,0.665440944468682
0,G2,12.3,0.6662752493184478
0,G2,12.4,0.6671089854712681
0,G2,12.5,0.6679421373157848
0,G2,12.6,0.6687746810291746
0,G2,12.7,0.6696066288323491
0,G2,12.8,0.6704379746618364
0,G2,12.9,0.6712687138015938
0,G2,13.0,0.6720988586932284
0,G2,13.1,0.6729283918252799
0,G2,13.2,0.6737572890050233
0,G2,13.3,0.6745855650983983
0,G2,13.4,0.6754132123603088
0,G2,13.5,0.6762402267371967
0,G2,13.6,0.6770666213966693
0,G2,13.7,0.6778923770472993
0,G2,13.8,0.6787174697518824
0,G2,13.9,0.6795419161185954
0,G2,14.0,0.6803657070684521
0,G2,14.1,0.6811888392103455
0,G2,14.2,0.6820113261256223
0,G2,14.3,0.6828331476599884
0,G2,14.4,0.6836542792030623
0,G2,14.5,0.6844747392256049
0,G2,14.6,0.685294518038307
0,G2,14.7,0.6861136121582535
0,G2,14.8,0.6869320357277496
0,G2,14.9,0.6877497680263269
0,G2,15.0,0.6885667834561467
0,G2,15.1,0.6893831024440578
0,G2,15.2,0.6901987148931504
0,G2,15.3,0.6910136169925063
0,G2,15.4,0.6918278235125508
0,G2,15.5,0.6926413131856397
