replicate,group,t_g
0,G1,15.661124250708191
0,G2,25.0
1,G1,13.395321959129586
1,G2,25.0
2,G1,11.516934473214521
2,G2,23.209339810386478
3,G1,10.0
3,G2,25.0
4,G1,13.486444031529265
4,G2,25.0
5,G1,10.121878681448768
5,G2,25.0
6,G1,12.7654333955065
6,G2,17.091924492564846
7,G1,12.38175924177983
7,G2,25.0
8,G1,12.15572397528005
8,G2,22.721445993835907
9,G1,13.25101983454202
9,G2,25.0
10,G1,11.136255820649305
10,G2,25.0
11,G1,15.948907491857426
11,G2,25.0
12,G1,13.363273277135736
12,G2,25.0
13,G1,10.0
13,G2,25.0
14,G1,10.0
14,G2,25.0
15,G1,10.064740774776867
15,G2,19.5667166564898
16,G1,11.696177740509114
16,G2,19.9648693473299
17,G1,15.41281433148743
17,G2,25.0
18,G1,12.586179452412692
18,G2,25.0
19,G1,16.57726607423236
19,G2,25.0
20,G1,10.0
20,G2,25.0
21,G1,10.0
21,G2,23.93428406145963
22,G1,11.374596724379517
22,G2,25.0
23,G1,14.707728544376833
23,G2,24.859457137710752
24,G1,11.242173428878262
24,G2,24.55854791102895
25,G1,10.0
25,G2,25.0
26,G1,12.256056005666746
26,G2,21.695892278529218
27,G1,10.576071566456184
27,G2,25.0
28,G1,12.091325561909304
28,G2,25.0
29,G1,11.839281303613093
29,G2,25.0
30,G1,13.981307054711063
30,G2,25.0
31,G1,13.452995333781477
31,G2,25.0
32,G1,12.180028945795636
32,G2,25.0
33,G1,10.0
33,G2,22.653425024033563
34,G1,10.0
34,G2,25.0
35,G1,10.0
35,G2,25.0
36,G1,10.701787592025385
36,G2,25.0
37,G1,14.0051281861078
37,G2,25.0
38,G1,12.384696753035128
38,G2,25.0
39,G1,14.783407978509496
39,G2,25.0
40,G1,12.725605324256097
40,G2,25.0
41,G1,10.0
41,G2,25.0
42,G1,16.432102563281312
42,G2,25.0
43,G1,12.3827147888896
43,G2,22.850969822300367
44,G1,24.95684485516487
44,G2,25.0
45,G1,10.0
45,G2,25.0
46,G1,15.508770498454485
46,G2,25.0
47,G1,13.023741797396003
47,G2,25.0
48,G1,10.0
48,G2,25.0
49,G1,10.0
49,G2,19.09269182819121
50,G1,10.854824654742481
50,G2,22.38505855215834
51,G1,12.610984039622831
51,G2,25.0
52,G1,10.419376573602676
52,G2,25.0
53,G1,11.90661905845466
53,G2,25.0
54,G1,10.0
54,G2,25.0
55,G1,14.156031887011299
55,G2,18.598699867977317
56,G1,13.302860186095534
56,G2,23.817717545274927
57,G1,13.973938143621927
57,G2,25.0
58,G1,13.88500235430607
58,G2,25.0
59,G1,10.19064802377111
59,G2,25.0
60,G1,11.654508835950363
60,G2,22.67923199003336
61,G1,10.203807063626469
61,G2,24.87899766796535
62,G1,11.289405572352354
62,G2,23.622282571311562
63,G1,12.198253521734333
63,G2,25.0
64,G1,12.038387114767458
64,G2,25.0
65,G1,10.0
65,G2,25.0
66,G1,10.0
66,G2,25.0
67,G1,10.0
67,G2,25.0
68,G1,13.779281207348316
68,G2,25.0
69,G1,18.803234400564303
69,G2,25.0
70,G1,15.068193748723134
70,G2,25.0
71,G1,10.0
71,G2,25.0
72,G1,10.016909696155253
72,G2,25.0
73,G1,10.09786755242706
73,G2,24.710300101138763
74,G1,15.772452619140262
74,G2,24.81031233698998
75,G1,13.732152219927436
75,G2,25.0
76,G1,12.403566151435335
76,G2,25.0
77,G1,10.0
77,G2,25.0
78,G1,11.804327979197046
78,G2,19.13571574589922
79,G1,13.934797981412055
79,G2,25.0
80,G1,14.370388553869008
80,G2,25.0
81,G1,12.13773079412951
81,G2,20.997830666601445
82,G1,15.053696241030483
82,G2,24.463702364217564
83,G1,13.20696786251156
83,G2,25.0
84,G1,11.427088641748366
84,G2,25.0
85,G1,15.107792744920246
85,G2,25.0
86,G1,10.0
86,G2,25.0
87,G1,11.704345202200477
87,G2,25.0
88,G1,10.0
88,G2,25.0
89,G1,11.156581114979264
89,G2,25.0
90,G1,13.408712189039326
90,G2,25.0
91,G1,16.44589690093601
91,G2,25.0
92,G1,16.19875378227007
92,G2,25.0
93,G1,11.3060770539093
93,G2,25.0
94,G1,13.016727888554161
94,G2,25.0
95,G1,14.806606392783495
95,G2,25.0
96,G1,11.83395345525207
96,G2,25.0
97,G1,13.737368318454802
97,G2,25.0
98,G1,10.0
98,G2,25.0
99,G1,10.0
99,G2,25.0
