replicate,K,boundaries,mean_loss,primary_ga
0,2,36.0,0.6470725549241798,0.050589390813032466
0,3,32.0|36.0,0.6433034996671334,0.050589390813032466
0,4,30.0|32.0|36.0,0.6425846055784293,0.050589390813032466
1,2,36.0,0.5254924794155259,0.04396661046004094
1,3,32.0|36.0,0.5214532153961001,0.04396661046004094
1,4,32.0|34.0|36.0,0.5212937872932558,0.04396661046004094
2,2,34.0,0.3777159389072497,0.1248497715310011
2,3,34.0|36.0,0.3769423170882142,0.1248497715310011
2,4,28.0|34.0|36.0,0.3778259604964337,0.1248497715310011
3,2,28.0,0.23325894063588878,0.03268050575893709
3,3,24.0|28.0,0.23325894063588878,0.03268050575893709
3,4,24.0|28.0|36.0,0.29672096250687235,0.03268050575893709
4,2,36.0,0.4926500166289159,0.01621275745990738
4,3,32.0|36.0,0.4890361689182133,0.01621275745990738
4,4,32.0|34.0|36.0,0.4890252973105521,0.01621275745990738
5,2,36.0,0.3341741972055106,0.005736123282043076
5,3,28.0|36.0,0.33769631177929527,0.005736123282043076
5,4,28.0|34.0|36.0,0.3991400988759777,0.005736123282043076
6,2,34.0,0.4167483233111482,0.0037569188939866075
6,3,34.0|36.0,0.4165182452141375,0.0037569188939866075
6,4,28.0|32.0|36.0,0.4163353847298007,0.0037569188939866075
7,2,34.0,0.44981175780496196,0.09722914439748741
7,3,34.0|36.0,0.44624194929815336,0.09722914439748741
7,4,32.0|34.0|36.0,0.44542572947874776,0.09722914439748741
8,2,36.0,0.4173891393265839,0.05132588465691388
8,3,34.0|36.0,0.415967999186576,0.05132588465691388
8,4,24.0|34.0|36.0,0.4188435599487969,0.05132588465691388
9,2,36.0,0.5096993761590305,0.07639448443475899
9,3,32.0|36.0,0.5062240810852368,0.07639448443475899
9,4,30.0|32.0|36.0,0.5059308635677333,0.07639448443475899
10,2,36.0,0.3771908610387424,0.023934608745939407
10,3,34.0|36.0,0.3839704590676631,0.023934608745939407
10,4,28.0|34.0|36.0,0.3839704590676631,0.023934608745939407
11,2,36.0,0.648219992611922,0.047901955083665966
11,3,32.0|36.0,0.6422944476416796,0.047901955083665966
11,4,30.0|32.0|36.0,0.6415152409954015,0.047901955083665966
12,2,36.0,0.5014589867003256,0.04192039010807077
12,3,32.0|36.0,0.4988690278727441,0.04192039010807077
12,4,32.0|34.0|36.0,0.4985381233274131,0.04192039010807077
13,2,28.0,0.23475636462143115,0.045099780902977976
13,3,28.0|36.0,0.3041234813211102,0.045099780902977976
13,4,28.0|30.0|36.0,0.3041234813211102,0.045099780902977976
14,2,36.0,0.3384966677278198,0.054031718035797746
14,3,28.0|36.0,0.3384966677278198,0.054031718035797746
14,4,28.0|30.0|36.0,0.383726569738294,0.054031718035797746
15,2,36.0,0.30473812650912213,0.09163591874206498
15,3,24.0|36.0,0.3070599140671342,0.09163591874206498
15,4,24.0|28.0|36.0,0.3132905638229453,0.09163591874206498
16,2,32.0,0.39451094785202734,0.09808015692912972
16,3,32.0|36.0,0.39227043770540443,0.09808015692912972
16,4,32.0|34.0|36.0,0.3921374884582959,0.09808015692912972
17,2,34.0,0.6129921252570317,0.030034818777875564
17,3,34.0|36.0,0.6078401963356648,0.030034818777875564
17,4,28.0|34.0|36.0,0.6093286774671172,0.030034818777875564
18,2,36.0,0.45239752827515645,0.058739467743366386
18,3,34.0|36.0,0.44979361862090883,0.058739467743366386
18,4,28.0|34.0|36.0,0.4512824361305234,0.058739467743366386
19,2,36.0,0.6563600939172969,-0.0006586548767517548
19,3,32.0|36.0,0.6511771403807133,-0.0006586548767517548
19,4,30.0|32.0|36.0,0.6507769397024791,-0.0006586548767517548
20,2,28.0,0.22703398744730335,-0.02700587725595518
20,3,28.0|30.0,0.22703398744730338,-0.02700587725595518
20,4,28.0|30.0|32.0,0.2977119911542346,-0.02700587725595518
21,2,36.0,0.32528574446205705,0.0346645700442893
21,3,24.0|36.0,0.32528574446205705,0.0346645700442893
21,4,24.0|28.0|36.0,0.3261173318870488,0.0346645700442893
22,2,36.0,0.39071541787409936,0.11277627177476468
22,3,34.0|36.0,0.3876580497916503,0.11277627177476468
22,4,28.0|34.0|36.0,0.39209196715601125,0.11277627177476468
23,2,36.0,0.5761192999251702,0.0517467768980972
23,3,32.0|36.0,0.5736287287796231,0.0517467768980972
23,4,32.0|34.0|36.0,0.5733792936235852,0.0517467768980972
24,2,34.0,0.3766197813806134,0.04334179242004544
24,3,34.0|36.0,0.3755018001453612,0.04334179242004544
24,4,24.0|34.0|36.0,0.3778226312601132,0.04334179242004544
25,2,24.0,0.23167426244736175,0.0149964109785865
25,3,24.0|28.0,0.23167426244736178,0.0149964109785865
25,4,24.0|28.0|30.0,0.2757813139808865,0.0149964109785865
26,2,32.0,0.4192301903141132,0.07029858415948702
26,3,32.0|36.0,0.4174827078353034,0.07029858415948702
26,4,32.0|34.0|36.0,0.4174279658203816,0.07029858415948702
27,2,36.0,0.33852072574149866,0.0767915952896272
27,3,24.0|36.0,0.341807406071617,0.0767915952896272
27,4,24.0|28.0|36.0,0.346660939588613,0.0767915952896272
28,2,36.0,0.4286658151985935,0.04942311928720156
28,3,34.0|36.0,0.425083397743088,0.04942311928720156
28,4,28.0|34.0|36.0,0.4273014540536779,0.04942311928720156
29,2,36.0,0.4319999323830098,0.07706045446673994
29,3,34.0|36.0,0.4288518839260168,0.07706045446673994
29,4,28.0|34.0|36.0,0.42993711414563973,0.07706045446673994
30,2,36.0,0.5303640887823757,0.04601008818595381
30,3,32.0|36.0,0.525352661879321,0.04601008818595381
30,4,30.0|32.0|36.0,0.5249953049958548,0.04601008818595381
31,2,36.0,0.5104421677515162,0.0367865944335899
31,3,34.0|36.0,0.5059514561524053,0.0367865944335899
31,4,28.0|34.0|36.0,0.5061111903862123,0.0367865944335899
32,2,36.0,0.4191617479786243,0.002078825392858733
32,3,34.0|36.0,0.4158189834523947,0.002078825392858733
32,4,24.0|34.0|36.0,0.41929630557441594,0.002078825392858733
33,2,28.0,0.2600707537851974,0.02501399140482142
33,3,28.0|36.0,0.29286924160469135,0.02501399140482142
33,4,28.0|30.0|36.0,0.3057289171104077,0.02501399140482142
34,2,28.0,0.3031151166746728,0.02795325053418685
34,3,28.0|36.0,0.3070907805704988,0.02795325053418685
