metric,value,unit
records,1082.0,count
mothers,267.0,count
ga_parse_missing,0.0,count
ga_date_diff_gt_1_week,144.0,count
height_missing_rate,0.0,proportion
weight_missing_rate,0.0,proportion
bmi_missing_rate,0.0,proportion
bmi_identity_abs_diff_gt_0_5,0.0,count
bmi_identity_abs_diff_median,3.6363658750815375e-09,kg/m2
gc_below_0_40,451.0,count
gc_above_0_60,0.0,count
unhealthy_records,38.0,count
event_rate,0.865988909426987,proportion
ga_min,11.0,week
ga_max,29.0,week
bmi_min,20.703125,kg/m2
bmi_max,46.875,kg/m2
height_min,144.0,cm
height_max,175.0,cm
weight_min,53.0,kg
weight_max,140.0,kg
