group,ga,p_marg,p_lo,p_hi
G1,10.0,0.7880863005250259,0.750825947037224,0.8134575940472234
G1,10.1,0.7886548458252837,0.7518822034547606,0.8138551940273552
G1,10.2,0.7892225906522722,0.7529364401085105,0.8142522517247345
G1,10.3,0.7897895543399762,0.7539886514382719,0.814648772102112
G1,10.4,0.7903557438477894,0.7550388254344753,0.815044735751487
G1,10.5,0.7909211233064304,0.7560869535097782,0.815440153278417
G1,10.6,0.791485717881621,0.757133023029722,0.8158350373107595
G1,10.7,0.792049537544697,0.7581770264393304,0.8162293642216109
G1,10.8,0.7926125381843859,0.7592189528382659,0.8166120579252686
G1,10.9,0.7931747525860138,0.7602587974648402,0.817023142153017
G1,11.0,0.7937361851720308,0.7612965545236973,0.8174335922893702
G1,11.1,0.7942968009033059,0.7623322121172824,0.8178433980157404
G1,11.2,0.7948566214609977,0.7633657592058661,0.8182525637014938
G1,11.3,0.7954156513298839,0.76439719006176,0.8186610893946408
G1,11.4,0.7959738752817221,0.7654264892176507,0.8190689689351028
G1,11.5,0.796531290104608,0.7664468816135181,0.8194762043140393
G1,11.6,0.7970879052330209,0.7672943680547453,0.8199027585990896
G1,11.7,0.7976437260835795,0.7681403288841565,0.8203289130330818
G1,11.8,0.7981987215954522,0.7689847537123397,0.8209180609603665
G1,11.9,0.7987529158686754,0.7698276391255958,0.8215422037954904
G1,12.0,0.7993063169527643,0.7706689802751487,0.8221651144571006
G1,12.1,0.7998588848851631,0.7715087672566231,0.8227867923175762
G1,12.2,0.8004106491752505,0.7723327108191816,0.8234072324675435
G1,12.3,0.8009616172459768,0.7731516417956485,0.8240264243290905
G1,12.4,0.8015117465024975,0.773969070254507,0.8246443814750725
G1,12.5,0.8020610682918201,0.7747849965823955,0.8252610976125823
G1,12.6,0.8026095872485958,0.7755994112240263,0.8258765599456235
G1,12.7,0.8031572740502861,0.7764123081791511,0.8264907800584559
G1,12.8,0.8037041428507762,0.7772236813501671,0.8271037599062824
G1,12.9,0.8042501987934965,0.7779669837792322,0.8277154894042981
G1,13.0,0.80479543602229,0.7786415910522928,0.8283259615025776
G1,13.1,0.8053398388327756,0.7793151816924844,0.8289351845437595
G1,13.2,0.8058834236057071,0.7799877524723359,0.8295431557794504
G1,13.3,0.8064261977725776,0.780659305162818,0.8301498778827758
G1,13.4,0.8069681258577386,0.7813298338112129,0.8307553352647425
G1,13.5,0.8075092333664513,0.781999340179853,0.8313595416262896
G1,13.6,0.8080495309710611,0.7826560884295681,0.8319624923980681
G1,13.7,0.8085889738514304,0.7831426907536873,0.8325641781820871
G1,13.8,0.8091275960355301,0.783674126989223,0.8331645971259197
G1,13.9,0.8096654023773993,0.7842046047828162,0.8337637681178827
G1,14.0,0.8102023545547145,0.7847341199236505,0.8343616728586468
G1,14.1,0.8107384789345846,0.7852374997241043,0.8349583079100802
G1,14.2,0.8112737802357455,0.7857292178877144,0.8355536772033463
G1,14.3,0.8118082376808679,0.7866693299781347,0.8361477810848471
G1,14.4,0.8123418551912015,0.7874846833278399,0.8367406205182895
G1,14.5,0.81287464021658,0.788169954902779,0.8373092395109877
G1,14.6,0.8134065953960473,0.7888209476350886,0.8378576473573695
G1,14.7,0.8139376935359381,0.7894706069899806,0.8384049546879558
G1,14.8,0.8144679576156743,0.7901189559547577,0.8389511544115422
G1,14.9,0.814997395573237,0.7905713969511886,0.8395409403651258
G1,15.0,0.8155259688548898,0.7911393261501284,0.8402230910328675
G1,15.1,0.8160537052923736,0.7917173159436285,0.8408548868390597
G1,15.2,0.8165806154642448,0.7922944885178647,0.8414375409163831
G1,15.3,0.8171066534092335,0.7928708275010833,0.8420189117677677
G1,15.4,0.8176318536871471,0.793446322192909,0.842599011557583
G1,15.5,0.8181562215421285,0.7940209932187223,0.8431778290505664
G1,15.6,0.8186797223096273,0.794594823213601,0.8437553673582574
G1,15.7,0.8192023767250088,0.7951678050249599,0.8443316216452479
G1,15.8,0.8197241897330033,0.7957399592833548,0.8450742074311226
G1,15.9,0.820245149510473,0.796311271859223,0.845865707890945
G1,16.0,0.8207652482794048,0.796881732050889,0.8466545680379519
G1,16.1,0.8212844986521881,0.7974513570944671,0.8474407949916386
G1,16.2,0.8218029079247258,0.7980201345034545,0.8482243983313621
G1,16.3,0.8223204421076847,0.7985880567299897,0.848991466117597
G1,16.4,0.8228371270973015,0.7991551409176445,0.8496419085352084
G1,16.5,0.8233529729530964,0.7997213767970006,0.8502906107062282
G1,16.6,0.8238679362382573,0.8002867505471596,0.8509375658656481
G1,16.7,0.8243820501748244,0.8008192729564623,0.851582776456132
G1,16.8,0.8248953213028053,0.8013450103686987,0.8522262474720063
G1,16.9,0.8254077077283777,0.8018186188374029,0.8528679676461172
G1,17.0,0.8259192403903481,0.8021697826121306,0.8535079397686169
G1,17.1,0.8264299244966624,0.8024572622830021,0.8541461641346264
G1,17.2,0.8269397331341344,0.8027202653210033,0.8547838818482391
G1,17.3,0.8274486776278778,0.8029830085626953,0.8554253177954028
G1,17.4,0.8279567642811875,0.803245486036418,0.856064970296661
G1,17.5,0.8284639909692719,0.8035077028990601,0.8567028318559874
G1,17.6,0.8289703370609537,0.8037696547362386,0.8573389058460104
G1,17.7,0.8294758224596388,0.8040313375549438,0.8579731973835085
G1,17.8,0.8299804557271643,0.8042927574828377,0.8586057017443117
G1,17.9,0.8304841991208738,0.8045539120334664,0.8592364085372346
G1,18.0,0.8309870799547483,0.8048148098419743,0.8598653296693581
G1,18.1,0.8314891101962781,0.8050754423286773,0.8604924627026442
G1,18.2,0.8319902427266398,0.805335807326328,0.8611178022985444
