K,boundaries,mean_loss,times,min_group_n
2,36.0,0.43650323080769904,12.126|25.000,26
2,34.0,0.4584651595746994,10.902|23.186,63
2,24.0,0.4719724084245438,10.000|14.050,1
2,26.0,0.4719724084245438,10.000|14.050,1
2,28.0,0.4740725995587971,10.000|14.138,4
2,32.0,0.48663414750811734,10.000|19.407,123
2,30.0,0.5002712031292652,10.000|15.937,61
3,34.0|36.0,0.43338695554764756,10.902|18.499|25.000,26
3,24.0|36.0,0.43936903528425575,10.000|12.198|25.000,1
3,26.0|36.0,0.43936903528425575,10.000|12.198|25.000,1
3,28.0|36.0,0.4415202777060235,10.000|12.275|25.000,4
3,32.0|36.0,0.45919080529931955,10.000|16.496|25.000,26
3,24.0|34.0,0.46147659324273754,10.000|10.984|23.186,1
3,26.0|34.0,0.46147659324273754,10.000|10.984|23.186,1
3,28.0|34.0,0.4637038764956055,10.000|11.058|23.186,4
3,30.0|36.0,0.4696813358452204,10.000|13.791|25.000,26
3,24.0|28.0,0.4740725995587971,10.000|10.000|14.138,1
3,26.0|28.0,0.4740725995587971,10.000|10.000|14.138,1
3,32.0|34.0,0.48386834296584635,10.000|15.226|23.186,60
3,24.0|32.0,0.48663414750811734,10.000|10.000|19.407,1
3,26.0|32.0,0.48663414750811734,10.000|10.000|19.407,1
3,28.0|32.0,0.48663414750811734,10.000|10.000|19.407,4
3,30.0|34.0,0.4930804420155634,10.000|12.515|23.186,61
3,30.0|32.0,0.4946773881060246,10.000|10.492|19.407,61
3,24.0|30.0,0.5002712031292652,10.000|10.000|15.937,1
3,26.0|30.0,0.5002712031292652,10.000|10.000|15.937,1
3,28.0|30.0,0.5002712031292652,10.000|10.000|15.937,4
4,24.0|34.0|36.0,0.43639838921568574,10.000|10.984|18.499|25.000,1
4,26.0|34.0|36.0,0.43639838921568574,10.000|10.984|18.499|25.000,1
4,28.0|34.0|36.0,0.4386256724685537,10.000|11.058|18.499|25.000,4
4,24.0|28.0|36.0,0.4415202777060235,10.000|10.000|12.275|25.000,1
4,26.0|28.0|36.0,0.4415202777060235,10.000|10.000|12.275|25.000,1
4,32.0|34.0|36.0,0.4587901389387945,10.000|15.226|18.499|25.000,26
4,24.0|32.0|36.0,0.45919080529931955,10.000|10.000|16.496|25.000,1
4,26.0|32.0|36.0,0.45919080529931955,10.000|10.000|16.496|25.000,1
4,28.0|32.0|36.0,0.45919080529931955,10.000|10.000|16.496|25.000,4
4,24.0|28.0|34.0,0.4637038764956055,10.000|10.000|11.058|23.186,1
4,26.0|28.0|34.0,0.4637038764956055,10.000|10.000|11.058|23.186,1
4,30.0|32.0|36.0,0.4672340458972269,10.000|10.492|16.496|25.000,26
4,30.0|34.0|36.0,0.46800223798851154,10.000|12.515|18.499|25.000,26
4,24.0|30.0|36.0,0.4696813358452204,10.000|10.000|13.791|25.000,1
4,26.0|30.0|36.0,0.4696813358452204,10.000|10.000|13.791|25.000,1
4,28.0|30.0|36.0,0.4696813358452204,10.000|10.000|13.791|25.000,4
4,24.0|32.0|34.0,0.48386834296584635,10.000|10.000|15.226|23.186,1
4,26.0|32.0|34.0,0.48386834296584635,10.000|10.000|15.226|23.186,1
4,28.0|32.0|34.0,0.48386834296584635,10.000|10.000|15.226|23.186,4
4,24.0|28.0|32.0,0.48663414750811734,10.000|10.000|10.000|19.407,1
4,26.0|28.0|32.0,0.48663414750811734,10.000|10.000|10.000|19.407,1
4,30.0|32.0|34.0,0.4919115835637537,10.000|10.492|15.226|23.186,60
4,24.0|30.0|34.0,0.4930804420155634,10.000|10.000|12.515|23.186,1
4,26.0|30.0|34.0,0.4930804420155634,10.000|10.000|12.515|23.186,1
4,28.0|30.0|34.0,0.4930804420155634,10.000|10.000|12.515|23.186,4
4,24.0|30.0|32.0,0.4946773881060246,10.000|10.000|10.492|19.407,1
4,26.0|30.0|32.0,0.4946773881060246,10.000|10.000|10.492|19.407,1
4,28.0|30.0|32.0,0.4946773881060246,10.000|10.000|10.492|19.407,4
4,24.0|28.0|30.0,0.5002712031292652,10.000|10.000|10.000|15.937,1
4,26.0|28.0|30.0,0.5002712031292652,10.000|10.000|10.000|15.937,1
