model,term,estimate,ci_low,ci_high,p_value,sigma2_intercept,sigma2_slope,corr_intercept_slope,phi,structure
auxiliary_beta,const,-2.485389929262002,-2.512913288534682,-2.457866569989322,0.0,0.18053915189697264,0.0012222543277320738,-0.12241608828704165,65.79527603015875,RI+RS
auxiliary_beta,ga_c,0.012755984532664808,0.006297271045914118,0.0192146980194155,0.00010838636483069578,0.18053915189697264,0.0012222543277320738,-0.12241608828704165,65.79527603015875,RI+RS
auxiliary_beta,weight_z,-0.09575870190224077,-0.1215540439854236,-0.06996335981905794,3.4384909606175936e-13,0.18053915189697264,0.0012222543277320738,-0.12241608828704165,65.79527603015875,RI+RS
auxiliary_beta,age_z,-0.04397112979528587,-0.07095137091360695,-0.016990888676964782,0.0014016262911008045,0.18053915189697264,0.0012222543277320738,-0.12241608828704165,65.79527603015875,RI+RS
auxiliary_beta,ivf,-0.25721198439174275,-0.6058807228018036,0.0914567540183181,0.1482089846560931,0.18053915189697264,0.0012222543277320738,-0.12241608828704165,65.79527603015875,RI+RS
primary_binomial,const,3.7029875062018944,1.2831413911269993,6.12283362127679,0.0027059665760589707,7.116993952145298,0.0,0.0,0.0,RI
primary_binomial,ga_c,0.20799044118466062,-0.040208517071158356,0.4561893994404796,0.10049103505788319,7.116993952145298,0.0,0.0,0.0,RI
primary_binomial,weight_z,-0.8778243667682152,-2.7458793496086624,0.990230616072232,0.3570344632043193,7.116993952145298,0.0,0.0,0.0,RI
primary_binomial,age_z,-0.008659008464276398,-1.801704868072653,1.7843868511441003,0.9924479229041023,7.116993952145298,0.0,0.0,0.0,RI
primary_binomial,ivf,-1.2401462784241097,-11.761231201584698,9.280938644736478,0.8172914621034723,7.116993952145298,0.0,0.0,0.0,RI
