group,rho,gamma,risk_form,t_star,min_loss
G1,0.5,0.0,linear,10.0,0.10595684973748704
G1,0.5,0.0,quadratic,10.4,0.10537576129409838
G1,0.5,0.0,clinical_piecewise,10.0,0.10595684973748704
G1,0.5,0.5,linear,10.0,0.12402671433840147
G1,0.5,0.5,quadratic,10.4,0.12333185531360527
G1,0.5,0.5,clinical_piecewise,10.0,0.12402671433840147
G1,0.5,1.0,linear,10.0,0.1420965789393159
G1,0.5,1.0,quadratic,10.5,0.1412596479159418
G1,0.5,1.0,clinical_piecewise,10.0,0.1420965789393159
G1,0.5,2.0,linear,10.0,0.17823630814114477
G1,0.5,2.0,quadratic,10.6,0.1770989571377715
G1,0.5,2.0,clinical_piecewise,10.0,0.17823630814114477
G1,1.0,0.0,linear,10.0,0.21191369947497407
G1,1.0,0.0,quadratic,10.8,0.2096019946875864
G1,1.0,0.0,clinical_piecewise,10.0,0.21191369947497407
G1,1.0,0.5,linear,10.0,0.2299835640758885
G1,1.0,0.5,quadratic,10.9,0.22744125284445463
G1,1.0,0.5,clinical_piecewise,10.0,0.2299835640758885
G1,1.0,1.0,linear,10.0,0.24805342867680294
G1,1.0,1.0,quadratic,10.9,0.2452544901088331
G1,1.0,1.0,clinical_piecewise,10.0,0.24805342867680294
G1,1.0,2.0,linear,10.0,0.2841931578786318
G1,1.0,2.0,quadratic,11.0,0.28086235471621535
G1,1.0,2.0,clinical_piecewise,10.0,0.2841931578786318
G1,2.0,0.0,linear,10.0,0.42382739894994814
G1,2.0,0.0,quadratic,11.6,0.41468232102184754
G1,2.0,0.0,clinical_piecewise,10.0,0.42382739894994814
G1,2.0,0.5,linear,10.0,0.44189726355086256
G1,2.0,0.5,quadratic,11.6,0.4322944140570384
G1,2.0,0.5,clinical_piecewise,10.0,0.44189726355086256
G1,2.0,1.0,linear,10.0,0.459967128151777
G1,2.0,1.0,quadratic,11.7,0.4498790550711884
G1,2.0,1.0,clinical_piecewise,10.0,0.459967128151777
G1,2.0,2.0,linear,10.0,0.4961068573536059
G1,2.0,2.0,quadratic,11.8,0.48503118247416666
G1,2.0,2.0,clinical_piecewise,10.0,0.4961068573536059
G2,0.5,0.0,linear,10.0,0.16000933613344132
G2,0.5,0.0,quadratic,10.5,0.15918815215597043
G2,0.5,0.0,clinical_piecewise,10.0,0.16000933613344132
G2,0.5,0.5,linear,10.0,0.1822712256782741
G2,0.5,0.5,quadratic,10.5,0.18134974967958528
G2,0.5,0.5,clinical_piecewise,10.0,0.1822712256782741
G2,0.5,1.0,linear,10.0,0.2045331152231069
G2,0.5,1.0,quadratic,10.5,0.20351134720320013
G2,0.5,1.0,clinical_piecewise,10.0,0.2045331152231069
G2,0.5,2.0,linear,10.0,0.2490568943127725
G2,0.5,2.0,quadratic,10.6,0.2477975942798514
G2,0.5,2.0,clinical_piecewise,10.0,0.2490568943127725
G2,1.0,0.0,linear,10.0,0.32001867226688263
G2,1.0,0.0,quadratic,11.0,0.3167454400481227
G2,1.0,0.0,clinical_piecewise,10.0,0.32001867226688263
G2,1.0,0.5,linear,10.0,0.34228056181171546
G2,1.0,0.5,quadratic,11.0,0.33880513786070504
G2,1.0,0.5,clinical_piecewise,10.0,0.34228056181171546
G2,1.0,1.0,linear,10.0,0.3645424513565482
G2,1.0,1.0,quadratic,11.0,0.36086483567328737
G2,1.0,1.0,clinical_piecewise,10.0,0.3645424513565482
G2,1.0,2.0,linear,10.0,0.4090662304462138
G2,1.0,2.0,quadratic,11.1,0.4049578074939091
G2,1.0,2.0,clinical_piecewise,10.0,0.4090662304462138
G2,2.0,0.0,linear,10.0,0.6400373445337653
G2,2.0,0.0,quadratic,11.9,0.6270221789718418
G2,2.0,0.0,clinical_piecewise,10.0,0.6400373445337653
G2,2.0,0.5,linear,10.0,0.662299234078598
G2,2.0,0.5,quadratic,12.0,0.6488899554675212
G2,2.0,0.5,clinical_piecewise,10.0,0.662299234078598
G2,2.0,1.0,linear,10.0,0.6845611236234309
G2,2.0,1.0,quadratic,12.0,0.6707411169422977
G2,2.0,1.0,clinical_piecewise,10.0,0.6845611236234309
G2,2.0,2.0,linear,10.0,0.7290849027130964
G2,2.0,2.0,quadratic,12.0,0.7144434398918506
G2,2.0,2.0,clinical_piecewise,10.0,0.7290849027130964
