replicate,K,mean_loss,boundaries,times
0,2,0.4179740837209188,36.0,11.827|25.000
0,3,0.417028781023752,34.0|36.0,11.235|15.863|25.000
0,4,0.419493680561784,28.0|34.0|36.0,10.000|11.326|15.863|25.000
1,2,0.37555060089596365,36.0,11.427|25.000
1,3,0.37186524465616366,34.0|36.0,10.212|18.878|25.000
1,4,0.3748785170856562,24.0|34.0|36.0,10.000|10.287|18.878|25.000
2,2,0.4135348749703556,36.0,11.540|25.000
2,3,0.4115616676427069,34.0|36.0,10.713|17.239|25.000
2,4,0.411554885537391,28.0|34.0|36.0,10.792|10.711|17.239|25.000
3,2,0.4145592006770516,36.0,11.881|25.000
3,3,0.41123263545917005,34.0|36.0,10.575|18.776|25.000
3,4,0.41425090210586063,24.0|34.0|36.0,10.000|10.654|18.776|25.000
4,2,0.4178516781743295,36.0,12.366|25.000
4,3,0.4155442607015858,34.0|36.0,11.271|17.730|25.000
4,4,0.4169504316821672,28.0|34.0|36.0,10.000|11.324|17.730|25.000
5,2,0.40905751018273234,36.0,11.612|25.000
5,3,0.4076436047259967,34.0|36.0,10.885|16.010|25.000
5,4,0.4171258173226575,24.0|34.0|36.0,10.000|11.128|16.010|25.000
6,2,0.42863004655860615,36.0,11.248|25.000
6,3,0.4255508144116355,34.0|36.0,10.050|17.510|25.000
6,4,0.4290614743585006,24.0|34.0|36.0,10.000|10.134|17.510|25.000
7,2,0.5185438144404578,36.0,13.164|25.000
7,3,0.5157739250223237,34.0|36.0,11.950|19.216|25.000
7,4,0.5221888576754025,24.0|34.0|36.0,10.000|12.130|19.216|25.000
8,2,0.43109750891193116,36.0,12.019|25.000
8,3,0.42813121402920645,34.0|36.0,10.728|18.355|25.000
8,4,0.45916636188564586,32.0|34.0|36.0,10.000|15.471|18.355|25.000
9,2,0.49431421579047197,36.0,12.963|25.000
9,3,0.49211975859929785,34.0|36.0,11.825|18.258|25.000
9,4,0.49178999596095124,28.0|34.0|36.0,11.016|11.850|18.258|25.000
10,2,0.44174372328478345,36.0,12.096|25.000
10,3,0.43841881937646277,34.0|36.0,10.764|18.363|25.000
10,4,0.4441002954063683,28.0|34.0|36.0,10.000|10.916|18.363|25.000
11,2,0.39077132348475385,36.0,11.554|25.000
11,3,0.38764690211301595,34.0|36.0,10.470|19.154|25.000
11,4,0.39413830468010674,24.0|34.0|36.0,10.000|10.622|19.154|25.000
