level,chrom,rule,TP,FN,FP,TN,sens,spec,ppv,npv,f1,coverage,auc,tau,tau_min,tau_max,cv_cost,q,coverage_ci_low,coverage_ci_high,sens_ci_low,sens_ci_high,spec_ci_low,spec_ci_high,ppv_ci_low,ppv_ci_high,npv_ci_low,npv_ci_high,f1_ci_low,f1_ci_high,auc_ci_low,auc_ci_high,ci_low,ci_high,perm_p
record,13,na,0,16,5,522,0.0,0.9905123339658444,0.0,0.9702602230483272,0.0,0.8975206611570248,0.43323055028463,5.5,3.5,5.5,187.0,-0.027153685,0.8922044190810653,0.9046130823986195,0.0,0.1584928229665073,0.9845559691146044,1.0,0.0,0.36392045454545463,0.9500736943954112,0.987042349726776,0.0,0.24,0.27925047318191515,0.6452358128496033,0.0,0.24,1.0
pregnant,13,conservative,0,18,4,125,0.0,0.9689922480620154,0.0,0.8741258741258742,0.0,1.0,0.4965546942291128,5.5,3.5,5.5,187.0,-0.027153685,1.0,1.0,0.0,0.15394736842105267,0.9415376984126984,1.0,0.0,0.37562500000000015,0.8216936040208929,0.9310462919225319,0.0,0.21126315789473699,0.35734081039249865,0.6349670150856886,0.0,0.21126315789473699,1.0
pregnant,13,majority,0,18,0,129,0.0,1.0,0.0,0.8775510204081632,0.0,1.0,0.4965546942291128,5.5,3.5,5.5,187.0,-0.027153685,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8229591836734694,0.9319727891156463,0.0,0.0,0.35734081039249865,0.6349670150856886,0.0,0.0,1.0
pregnant,13,max_risk,0,18,4,125,0.0,0.9689922480620154,0.0,0.8741258741258742,0.0,1.0,0.4965546942291128,5.5,3.5,5.5,187.0,-0.027153685,1.0,1.0,0.0,0.15394736842105267,0.9415376984126984,1.0,0.0,0.37562500000000015,0.8216936040208929,0.9310462919225319,0.0,0.21126315789473699,0.35734081039249865,0.6349670150856886,0.0,0.21126315789473699,1.0
record,18,na,0,24,1,518,0.0,0.9980732177263969,0.0,0.955719557195572,0.0,0.8975206611570248,0.5670359666024406,5.5,5.0,5.5,294.0,-0.027153685,0.8922044190810653,0.9046130823986195,0.0,0.0,0.9959814566909613,1.0,0.0,0.0,0.9317588064136694,0.9795224182550115,0.0,0.0,0.4678940614516397,0.6516137783763067,0.0,0.0,1.0
pregnant,18,conservative,0,30,1,116,0.0,0.9914529914529915,0.0,0.7945205479452054,0.0,1.0,0.517948717948718,5.5,5.0,5.5,294.0,-0.027153685,1.0,1.0,0.0,0.0,0.9831860949508008,1.0,0.0,0.0,0.7328767123287672,0.8641156462585033,0.0,0.0,0.42034609304426385,0.6088461538461538,0.0,0.0,1.0
pregnant,18,majority,0,30,0,117,0.0,1.0,0.0,0.7959183673469388,0.0,1.0,0.517948717948718,5.5,5.0,5.5,294.0,-0.027153685,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7346938775510204,0.8641156462585033,0.0,0.0,0.42034609304426385,0.6088461538461538,0.0,0.0,1.0
pregnant,18,max_risk,0,30,1,116,0.0,0.9914529914529915,0.0,0.7945205479452054,0.0,1.0,0.517948717948718,5.5,5.0,5.5,294.0,-0.027153685,1.0,1.0,0.0,0.0,0.9831860949508008,1.0,0.0,0.0,0.7328767123287672,0.8641156462585033,0.0,0.0,0.42034609304426385,0.6088461538461538,0.0,0.0,1.0
record,21,na,0,11,0,532,0.0,1.0,0.0,0.9797421731123389,0.0,0.8975206611570248,0.4919685577580314,3.0,3.0,3.0,132.0,-0.027153685,0.8922044190810653,0.9046130823986195,0.0,0.0,0.9980353152662789,1.0,0.0,0.0,0.9662680431395063,0.9907277863952336,0.0,0.0,0.2649109086585076,0.6683665674603176,0.0,0.0,1.0
pregnant,21,conservative,0,12,0,135,0.0,1.0,0.0,0.9183673469387755,0.0,1.0,0.37962962962962965,3.0,3.0,3.0,132.0,-0.027153685,1.0,1.0,0.0,0.0,0.9921428571428572,1.0,0.0,0.0,0.8773809523809524,0.9593537414965986,0.0,0.0,0.1810906862745098,0.5566852674635919,0.0,0.0,1.0
pregnant,21,majority,0,12,0,135,0.0,1.0,0.0,0.9183673469387755,0.0,1.0,0.37962962962962965,3.0,3.0,3.0,132.0,-0.027153685,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8773809523809524,0.9593537414965986,0.0,0.0,0.1810906862745098,0.5566852674635919,0.0,0.0,1.0
pregnant,21,max_risk,0,12,0,135,0.0,1.0,0.0,0.9183673469387755,0.0,1.0,0.37962962962962965,3.0,3.0,3.0,132.0,-0.027153685,1.0,1.0,0.0,0.0,0.9921428571428572,1.0,0.0,0.0,0.8773809523809524,0.9593537414965986,0.0,0.0,0.1810906862745098,0.5566852674635919,0.0,0.0,1.0
