level,chrom,rule,TP,FN,FP,TN,sens,spec,ppv,npv,f1,coverage,auc,tau,tau_min,tau_max,cv_cost,q,replicate
record,13,na,0,14,4,531,0.0,0.9925233644859813,0.0,0.9743119266055046,0.0,0.8985270049099836,0.33524699599465957,5.5,4.5,5.5,172.0,-0.0277243343,0
pregnant,13,conservative,0,18,3,126,0.0,0.9767441860465116,0.0,0.875,0.0,1.0,0.45650301464254955,5.5,4.5,5.5,172.0,-0.0277243343,0
pregnant,13,majority,0,18,0,129,0.0,1.0,0.0,0.8775510204081632,0.0,1.0,0.45650301464254955,5.5,4.5,5.5,172.0,-0.0277243343,0
pregnant,13,max_risk,0,18,3,126,0.0,0.9767441860465116,0.0,0.875,0.0,1.0,0.45650301464254955,5.5,4.5,5.5,172.0,-0.0277243343,0
record,18,na,0,25,0,524,0.0,1.0,0.0,0.9544626593806922,0.0,0.8985270049099836,0.530763358778626,5.5,5.5,5.5,300.0,-0.0277243343,0
pregnant,18,conservative,0,31,0,116,0.0,1.0,0.0,0.7891156462585034,0.0,1.0,0.4808120133481646,5.5,5.5,5.5,300.0,-0.0277243343,0
pregnant,18,majority,0,31,0,116,0.0,1.0,0.0,0.7891156462585034,0.0,1.0,0.4808120133481646,5.5,5.5,5.5,300.0,-0.0277243343,0
pregnant,18,max_risk,0,31,0,116,0.0,1.0,0.0,0.7891156462585034,0.0,1.0,0.4808120133481646,5.5,5.5,5.5,300.0,-0.0277243343,0
record,21,na,0,10,0,539,0.0,1.0,0.0,0.9817850637522769,0.0,0.8985270049099836,0.385343228200371,3.0,3.0,3.0,120.0,-0.0277243343,0
pregnant,21,conservative,0,10,0,137,0.0,1.0,0.0,0.9319727891156463,0.0,1.0,0.3094890510948905,3.0,3.0,3.0,120.0,-0.0277243343,0
pregnant,21,majority,0,10,0,137,0.0,1.0,0.0,0.9319727891156463,0.0,1.0,0.3094890510948905,3.0,3.0,3.0,120.0,-0.0277243343,0
pregnant,21,max_risk,0,10,0,137,0.0,1.0,0.0,0.9319727891156463,0.0,1.0,0.3094890510948905,3.0,3.0,3.0,120.0,-0.0277243343,0
record,13,na,0,15,6,527,0.0,0.9887429643527205,0.0,0.9723247232472325,0.0,0.8954248366013072,0.5318323952470294,5.5,3.5,5.5,188.0,-0.027897475,1
pregnant,13,conservative,0,17,5,125,0.0,0.9615384615384616,0.0,0.8802816901408451,0.0,1.0,0.4122171945701357,5.5,3.5,5.5,188.0,-0.027897475,1
pregnant,13,majority,0,17,0,130,0.0,1.0,0.0,0.8843537414965986,0.0,1.0,0.4122171945701357,5.5,3.5,5.5,188.0,-0.027897475,1
pregnant,13,max_risk,0,17,5,125,0.0,0.9615384615384616,0.0,0.8802816901408451,0.0,1.0,0.4122171945701357,5.5,3.5,5.5,188.0,-0.027897475,1
record,18,na,0,24,1,523,0.0,0.9980916030534351,0.0,0.9561243144424132,0.0,0.8954248366013072,0.49570610687022904,5.5,5.0,5.5,294.0,-0.027897475,1
pregnant,18,conservative,0,34,1,112,0.0,0.9911504424778761,0.0,0.7671232876712328,0.0,1.0,0.4656428943258719,5.5,5.0,5.5,294.0,-0.027897475,1
pregnant,18,majority,0,34,0,113,0.0,1.0,0.0,0.7687074829931972,0.0,1.0,0.4656428943258719,5.5,5.0,5.5,294.0,-0.027897475,1
pregnant,18,max_risk,0,34,1,112,0.0,0.9911504424778761,0.0,0.7671232876712328,0.0,1.0,0.4656428943258719,5.5,5.0,5.5,294.0,-0.027897475,1
record,21,na,0,12,0,536,0.0,1.0,0.0,0.9781021897810219,0.0,0.8954248366013072,0.5583022388059702,3.0,3.0,3.0,144.0,-0.027897475,1
pregnant,21,conservative,0,12,0,135,0.0,1.0,0.0,0.9183673469387755,0.0,1.0,0.3907407407407407,3.0,3.0,3.0,144.0,-0.027897475,1
pregnant,21,majority,0,12,0,135,0.0,1.0,0.0,0.9183673469387755,0.0,1.0,0.3907407407407407,3.0,3.0,3.0,144.0,-0.027897475,1
pregnant,21,max_risk,0,12,0,135,0.0,1.0,0.0,0.9183673469387755,0.0,1.0,0.3907407407407407,3.0,3.0,3.0,144.0,-0.027897475,1
record,13,na,0,18,2,495,0.0,0.9959758551307847,0.0,0.9649122807017544,0.0,0.8940972222222222,0.3786049631120053,5.0,4.5,5.0,217.0,-0.0290726277,2
pregnant,13,conservative,0,20,2,125,0.0,0.984251968503937,0.0,0.8620689655172413,0.0,1.0,0.35708661417322834,5.0,4.5,5.0,217.0,-0.0290726277,2
pregnant,13,majority,0,20,0,127,0.0,1.0,0.0,0.8639455782312925,0.0,1.0,0.35708661417322834,5.0,4.5,5.0,217.0,-0.0290726277,2
pregnant,13,max_risk,0,20,2,125,0.0,0.984251968503937,0.0,0.8620689655172413,0.0,1.0,0.35708661417322834,5.0,4.5,5.0,217.0,-0.0290726277,2
record,18,na,0,29,2,484,0.0,0.9958847736625515,0.0,0.9434697855750487,0.0,0.8940972222222222,0.5048247481197673,5.0,4.5,5.0,348.0,-0.0290726277,2
pregnant,18,conservative,0,37,1,109,0.0,0.990909090909091,0.0,0.7465753424657534,0.0,1.0,0.5061425061425061,5.0,4.5,5.0,348.0,-0.0290726277,2
pregnant,18,majority,0,37,0,110,0.0,1.0,0.0,0.7482993197278912,0.0,1.0,0.5061425061425061,5.0,4.5,5.0,348.0,-0.0290726277,2
