lambda,chrom,tau,cost
1,13,-3.0,528
1,13,-2.5,523
1,13,-2.0,518
1,13,-1.5,502
1,13,-1.0,467
1,13,-0.5,413
1,13,0.0,323
1,13,0.5,253
1,13,1.0,190
1,13,1.5,116
1,13,2.0,72
1,13,2.5,38
1,13,3.0,30
1,13,3.5,22
1,13,4.0,21
1,13,4.5,20
1,13,5.0,18
1,13,5.5,16
1,13,6.0,16
1,18,-3.0,520
1,18,-2.5,520
1,18,-2.0,516
1,18,-1.5,509
1,18,-1.0,483
1,18,-0.5,447
1,18,0.0,385
1,18,0.5,296
1,18,1.0,218
1,18,1.5,166
1,18,2.0,110
1,18,2.5,76
1,18,3.0,57
1,18,3.5,42
1,18,4.0,36
1,18,4.5,30
1,18,5.0,25
1,18,5.5,24
1,18,6.0,24
1,21,-3.0,532
1,21,-2.5,525
1,21,-2.0,509
1,21,-1.5,471
1,21,-1.0,429
1,21,-0.5,347
1,21,0.0,246
1,21,0.5,162
1,21,1.0,95
1,21,1.5,53
1,21,2.0,28
1,21,2.5,17
1,21,3.0,11
1,21,3.5,11
1,21,4.0,11
1,21,4.5,11
1,21,5.0,11
1,21,5.5,11
1,21,6.0,11
2,13,-3.0,528
2,13,-2.5,523
2,13,-2.0,518
2,13,-1.5,502
2,13,-1.0,469
2,13,-0.5,417
2,13,0.0,330
2,13,0.5,262
2,13,1.0,201
2,13,1.5,129
2,13,2.0,85
2,13,2.5,52
2,13,3.0,44
2,13,3.5,36
2,13,4.0,36
2,13,4.5,35
2,13,5.0,33
2,13,5.5,31
2,13,6.0,31
2,18,-3.0,520
2,18,-2.5,520
2,18,-2.0,516
2,18,-1.5,509
2,18,-1.0,483
2,18,-0.5,448
2,18,0.0,388
2,18,0.5,300
2,18,1.0,229
2,18,1.5,184
2,18,2.0,130
2,18,2.5,99
2,18,3.0,81
2,18,3.5,66
2,18,4.0,60
2,18,4.5,54
2,18,5.0,49
2,18,5.5,48
2,18,6.0,48
2,21,-3.0,532
2,21,-2.5,525
2,21,-2.0,510
2,21,-1.5,473
2,21,-1.0,432
2,21,-0.5,351
2,21,0.0,251
2,21,0.5,170
2,21,1.0,104
2,21,1.5,64
2,21,2.0,39
2,21,2.5,28
2,21,3.0,22
2,21,3.5,22
2,21,4.0,22
2,21,4.5,22
2,21,5.0,22
2,21,5.5,22
2,21,6.0,22
3,13,-3.0,528
3,13,-2.5,523
3,13,-2.0,518
3,13,-1.5,502
3,13,-1.0,471
3,13,-0.5,421
3,13,0.0,337
3,13,0.5,271
3,13,1.0,212
3,13,1.5,142
3,13,2.0,98
3,13,2.5,66
3,13,3.0,58
3,13,3.5,50
3,13,4.0,51
3,13,4.5,50
3,13,5.0,48
3,13,5.5,46
3,13,6.0,46
3,18,-3.0,520
3,18,-2.5,520
3,18,-2.0,516
3,18,-1.5,509
3,18,-1.0,483
3,18,-0.5,449
3,18,0.0,391
3,18,0.5,304
3,18,1.0,240
3,18,1.5,202
3,18,2.0,150
3,18,2.5,122
3,18,3.0,105
3,18,3.5,90
3,18,4.0,84
3,18,4.5,78
3,18,5.0,73
3,18,5.5,72
3,18,6.0,72
3,21,-3.0,532
3,21,-2.5,525
3,21,-2.0,511
3,21,-1.5,475
3,21,-1.0,435
3,21,-0.5,355
3,21,0.0,256
3,21,0.5,178
3,21,1.0,113
3,21,1.5,75
3,21,2.0,50
3,21,2.5,39
3,21,3.0,33
3,21,3.5,33
3,21,4.0,33
3,21,4.5,33
3,21,5.0,33
3,21,5.5,33
3,21,6.0,33
5,13,-3.0,528
5,13,-2.5,523
5,13,-2.0,518
5,13,-1.5,502
5,13,-1.0,475
5,13,-0.5,429
5,13,0.0,351
5,13,0.5,289
5,13,1.0,234
5,13,1.5,168
5,13,2.0,124
5,13,2.5,94
5,13,3.0,86
5,13,3.5,78
5,13,4.0,81
5,13,4.5,80
5,13,5.0,78
5,13,5.5,76
5,13,6.0,76
5,18,-3.0,520
5,18,-2.5,520
5,18,-2.0,516
5,18,-1.5,509
5,18,-1.0,483
5,18,-0.5,451
5,18,0.0,397
5,18,0.5,312
5,18,1.0,262
5,18,1.5,238
5,18,2.0,190
5,18,2.5,168
5,18,3.0,153
5,18,3.5,138
5,18,4.0,132
5,18,4.5,126
5,18,5.0,121
5,18,5.5,120
5,18,6.0,120
5,21,-3.0,532
5,21,-2.5,525
5,21,-2.0,513
5,21,-1.5,479
5,21,-1.0,441
5,21,-0.5,363
5,21,0.0,266
5,21,0.5,194
5,21,1.0,131
5,21,1.5,97
5,21,2.0,72
5,21,2.5,61
5,21,3.0,55
5,21,3.5,55
5,21,4.0,55
5,21,4.5,55
5,21,5.0,55
5,21,5.5,55
5,21,6.0,55
