lambda,chrom,tau,sens,spec,f1,auc,cv_cost
1,13,5.5,0.0,0.9981024667931688,0.0,0.43323055028463,65.0
1,18,5.5,0.0,0.9980732177263969,0.0,0.5670359666024406,98.0
1,21,3.0,0.0,1.0,0.0,0.4919685577580314,44.0
2,13,5.5,0.0,0.9981024667931688,0.0,0.43323055028463,126.0
2,18,5.5,0.0,0.9980732177263969,0.0,0.5670359666024406,196.0
2,21,3.0,0.0,1.0,0.0,0.4919685577580314,88.0
3,13,5.5,0.0,0.9905123339658444,0.0,0.43323055028463,187.0
3,18,5.5,0.0,0.9980732177263969,0.0,0.5670359666024406,294.0
3,21,3.0,0.0,1.0,0.0,0.4919685577580314,132.0
5,13,5.5,0.0,0.9848197343453511,0.0,0.43323055028463,306.0
5,18,5.5,0.0,0.9980732177263969,0.0,0.5670359666024406,490.0
5,21,3.0,0.0,1.0,0.0,0.4919685577580314,220.0
