replicate,chrom,f1,auc
0,13,0.0,0.5066218809980806
0,18,0.0,0.5585544889892716
0,21,0.0,0.4545454545454546
1,13,0.0,0.5651668779045205
1,18,0.0,0.5026003744539214
1,21,0.0,0.43117857752004096
2,13,0.0,0.6421475611117312
2,18,0.0,0.5466426071741033
2,21,0.0,0.45187265917603
3,13,0.0,0.4098809523809524
3,18,0.0,0.49620493358633777
3,21,0.0,0.5198970840480275
4,13,0.0,0.6378182550065412
4,18,0.0,0.5820339625023673
4,21,0.0,0.4556390977443609
5,13,0.0,0.5930161943319838
5,18,0.0,0.5331897503865695
5,21,0.0,0.46219281663516065
6,13,0.0,0.423086011342155
6,18,0.0,0.4667808574691166
6,21,0.0,0.4735772357723577
7,13,0.0,0.5455512984248616
7,18,0.0,0.5267857142857143
7,21,0.0,0.4535984848484848
8,13,0.0,0.5328654188948306
8,18,0.0,0.5277232045404934
8,21,0.0,0.4545794392523364
9,13,0.0,0.524904214559387
9,18,0.0,0.5982103645147123
9,21,0.0,0.44958055127546653
10,13,0.0,0.4805343511450382
10,18,0.0,0.5489098566021643
10,21,0.0,0.39489348370927324
11,13,0.0,0.5638095238095238
11,18,0.0,0.5083044982698962
11,21,0.0,0.5574874686716792
12,13,0.0,0.5807567808907245
12,18,0.0,0.5564358925988807
12,21,0.0,0.49889135254988914
13,13,0.0,0.5287310053336016
13,18,0.0,0.5052092635589689
13,21,0.0,0.44858490566037734
14,13,0.0,0.4964083175803403
14,18,0.0,0.5216390682009543
14,21,0.0,0.47901002506265666
15,13,0.0,0.5037593984962406
15,18,0.0,0.5078574393642887
15,21,0.0,0.4272556711581102
16,13,0.0,0.5808475378787878
16,18,0.0,0.54327392578125
16,21,0.0,0.4301028538316674
17,13,0.0,0.5629734848484849
17,18,0.0,0.5316373124592303
17,21,0.0,0.40730001705611457
18,13,0.0,0.5820952380952381
18,18,0.0,0.5647784326566252
18,21,0.0,0.467143343547838
19,13,0.0,0.5255050786918183
19,18,0.0,0.49015908947997233
19,21,0.0,0.47885338345864664
20,13,0.0,0.5358381502890173
20,18,0.0,0.5384353741496599
20,21,0.0,0.49943289224952736
21,13,0.0,0.5775910364145658
21,18,0.0,0.51183637396629
21,21,0.0,0.4314329738058552
22,13,0.0,0.5325306294888044
22,18,0.0,0.5260629781177726
22,21,0.0,0.4298245614035088
23,13,0.0,0.5163274435249385
23,18,0.0,0.5594591471166069
23,21,0.0,0.5521029504080351
24,13,0.0,0.5389312977099237
24,18,0.0,0.55810546875
24,21,0.0,0.5224287907214736
25,13,0.0,0.48842504743833015
25,18,0.0,0.5422936038320654
25,21,0.0,0.48810135250813214
26,13,0.0,0.5628494743905166
26,18,0.0,0.5195595003287311
26,21,0.0,0.37952836637047166
27,13,0.0,0.500055809800201
27,18,0.0,0.4868647334400759
27,21,0.0,0.44956140350877194
28,13,0.0,0.5082040406295345
28,18,0.0,0.5499423298731257
28,21,0.0,0.3677298311444653
29,13,0.0,0.538229713137627
29,18,0.0,0.5700692041522493
29,21,0.0,0.5425093632958802
30,13,0.0,0.5724225173940545
30,18,0.0,0.4806044465030107
30,21,0.0,0.49546310563259716
31,13,0.0,0.5269901281243435
31,18,0.0,0.5822562299658773
31,21,0.0,0.5034267912772585
32,13,0.0,0.5499196464443552
32,18,0.0,0.4944349315068493
32,21,0.0,0.5634023854362837
33,13,0.0,0.5345462663243665
33,18,0.0,0.6363735783027122
33,21,0.0,0.43014981273408237
34,13,0.0,0.5456084656084657
34,18,0.0,0.5279884627710715
34,21,0.0,0.5163214061519147
35,13,0.0,0.5317612067134055
35,18,0.0,0.556053536345776
35,21,0.0,0.44369114877589455
36,13,0.0,0.6068203422053232
36,18,0.0,0.512911069939787
36,21,0.0,0.5160377358490567
37,13,0.0,0.5789848197343455
37,18,0.0,0.6230002191540653
37,21,0.0,0.4519774011299435
38,13,0.0,0.5256653992395437
38,18,0.0,0.4748191131169855
38,21,0.0,0.5405701754385965
39,13,0.0,0.5818487394957983
39,18,0.0,0.5750487329434698
39,21,0.0,0.401472350624893
40,13,0.0,0.5483870967741935
40,18,0.0,0.562370493162039
40,21,0.0,0.3937128292268479
41,13,0.0,0.49501861728892016
41,18,0.0,0.5591911764705882
41,21,0.0,0.39941790789248416
42,13,0.0,0.5605385920271417
42,18,0.0,0.5351888449714537
42,21,0.0,0.4762578616352201
43,13,0.0,0.5283553875236294
43,18,0.0,0.6067111776217337
43,21,0.0,0.4818691588785047
44,13,0.0,0.40981463878326996
44,18,0.0,0.5564384333615102
44,21,0.0,0.5060777264167096
45,13,0.0,0.5792600594112882
45,18,0.0,0.46423205824569513
45,21,0.0,0.44053315105946683
46,13,0.0,0.508
46,18,0.0,0.5434948701156953
46,21,0.0,0.49608443990466466
47,13,0.0,0.49050853361198193
47,18,0.0,0.5448051601897755
47,21,0.0,0.4133771929824561
48,13,0.0,0.5683597883597884
48,18,0.0,0.5658605174353206
48,21,0.0,0.4589118198874297
49,13,0.0,0.44795518207282914
49,18,0.0,0.5743302591128678
49,21,0.0,0.4716658106488615
50,13,0.0,0.6083268221899766
50,18,0.0,0.5370293322238402
50,21,0.0,0.4937745181647621
51,13,0.0,0.5072318200080354
51,18,0.0,0.5507311586051744
51,21,0.0,0.44528301886792454
52,13,0.0,0.5050220972278023
52,18,0.0,0.48490790255496136
52,21,0.0,0.48632946001367056
53,13,0.0,0.45999798732011676
53,18,0.0,0.49622691998929624
53,21,0.0,0.4372641509433962
54,13,0.0,0.5390367553865653
54,18,0.0,0.4761393462180864
54,21,0.0,0.374442538593482
55,13,0.0,0.577443074003795
55,18,0.0,0.5845353675450763
55,21,0.0,0.5442561205273069
56,13,0.0,0.5290781719114868
56,18,0.0,0.5551020408163265
56,21,0.0,0.43857264231096005
57,13,0.0,0.600848308963054
57,18,0.0,0.5612772535849458
57,21,0.0,0.39672522599351867
58,13,0.0,0.5194595684613833
58,18,0.0,0.5531964264995939
58,21,0.0,0.4469982847341338
59,13,0.0,0.4685811486892135
59,18,0.0,0.49350925728878486
59,21,0.0,0.47639149468417763
60,13,0.0,0.481941788825154
60,18,0.0,0.5726027397260275
60,21,0.0,0.48572261072261075
61,13,0.0,0.4684807256235828
61,18,0.0,0.4729434742647059
61,21,0.0,0.4208566108007449
62,13,0.0,0.5838596491228071
62,18,0.0,0.539545326971653
62,21,0.0,0.4689138576779026
63,13,0.0,0.5129559748427672
63,18,0.0,0.5735085227272727
63,21,0.0,0.4458631256384065
64,13,0.0,0.5406309751434034
64,18,0.0,0.5665973581213307
64,21,0.0,0.4220025109855618
65,13,0.0,0.585665818490246
65,18,0.0,0.53248031496063
65,21,0.0,0.42578616352201254
66,13,0.0,0.5607112794612794
66,18,0.0,0.5502723311546841
66,21,0.0,0.4536516853932584
67,13,0.0,0.5680995475113122
67,18,0.0,0.5375640295959021
67,21,0.0,0.4255555555555556
68,13,0.0,0.5387114845938376
68,18,0.0,0.5501968503937008
68,21,0.0,0.3905660377358491
69,13,0.0,0.5568701864047326
69,18,0.0,0.536769294778448
69,21,0.0,0.46569548872180455
70,13,0.0,0.4077774777207669
70,18,0.0,0.5954004391540506
70,21,0.0,0.46720025109855623
71,13,0.0,0.49072681704260646
71,18,0.0,0.50323486328125
71,21,0.0,0.4786967418546366
72,13,0.0,0.46548757170172084
72,18,0.0,0.560427807486631
72,21,0.0,0.38067542213883676
73,13,0.0,0.5297478991596638
73,18,0.0,0.5443566095740009
73,21,0.0,0.4447868515665126
74,13,0.0,0.5820551378446115
74,18,0.0,0.5405405405405406
74,21,0.0,0.431390977443609
75,13,0.0,0.5631372549019608
75,18,0.0,0.4552268244575937
75,21,0.0,0.45420304742338646
76,13,0.0,0.48124621899576525
76,18,0.0,0.5319136244333094
76,21,0.0,0.49142367066895365
77,13,0.0,0.5441649605147705
77,18,0.0,0.5158824162808227
77,21,0.0,0.47712665406427224
78,13,0.0,0.4818191927054376
78,18,0.0,0.5330724070450098
78,21,0.0,0.4792446941323346
79,13,0.0,0.49831612034126627
79,18,0.0,0.5808678500986193
79,21,0.0,0.46591337099811675
80,13,0.0,0.47207699619771865
80,18,0.0,0.5301796157059314
80,21,0.0,0.39261006289308176
81,13,0.0,0.531312905390293
81,18,0.0,0.5448603683897801
81,21,0.0,0.35593220338983045
82,13,0.0,0.46978371501272265
82,18,0.0,0.5474857268335529
82,21,0.0,0.3545625749015579
83,13,0.0,0.5305343511450382
83,18,0.0,0.5727053786459726
83,21,0.0,0.4637218045112782
84,13,0.0,0.5810074502390749
84,18,0.0,0.52384679899357
84,21,0.0,0.3576890399320306
85,13,0.0,0.4853354760948172
85,18,0.0,0.5496207670120714
85,21,0.0,0.47300435413642966
86,13,0.0,0.5616682509505704
86,18,0.0,0.5758171101982498
86,21,0.0,0.453175826057182
87,13,0.0,0.5367225283995051
87,18,0.0,0.5546719681908548
87,21,0.0,0.4165664203471387
88,13,0.0,0.5157162101481814
88,18,0.0,0.5188118811881188
88,21,0.0,0.34595103578154424
89,13,0.0,0.5627650551314674
89,18,0.0,0.5763366750208856
89,21,0.0,0.5191823899371069
90,13,0.0,0.4718183851487363
90,18,0.0,0.6050502715821102
90,21,0.0,0.5560232220609579
91,13,0.0,0.498854961832061
91,18,0.0,0.5418307086614174
91,21,0.0,0.38614232209737825
92,13,0.0,0.5942234848484849
92,18,0.0,0.5681317990316294
92,21,0.0,0.40644721132526007
93,13,0.0,0.5817399617590822
93,18,0.0,0.4597742127153892
93,21,0.0,0.48345428156748915
94,13,0.0,0.4270906712287411
94,18,0.0,0.5777573529411765
94,21,0.0,0.47011278195488726
95,13,0.0,0.5726906732274659
95,18,0.0,0.5847890671420083
95,21,0.0,0.39063568010936434
96,13,0.0,0.5240336134453781
96,18,0.0,0.5159926470588235
96,21,0.0,0.48073959938366717
97,13,0.0,0.4501148506940977
97,18,0.0,0.5506663602941176
97,21,0.0,0.49141697877652935
98,13,0.0,0.5896946564885497
98,18,0.0,0.5474218089602705
98,21,0.0,0.4576271186440678
99,13,0.0,0.5057034220532319
99,18,0.0,0.5457504734848485
99,21,0.0,0.4991487912836228
