n_min,K,boundaries,total_loss_J,max_tstar_gap
10,2,30.0,56.09373099975168,0.010555708846410994
10,3,28.5|29.5,56.09439703869466,0.013893658107019036
10,4,28.5|29.0|30.0,56.09351190153924,0.01466348287447694
10,5,28.5|29.0|29.5|30.0,56.09349920444658,0.01466348287447694
10,6,28.5|29.0|29.5|30.0|30.5,56.09262219880227,0.015577694535528153
15,2,30.0,56.09373099975168,0.010555708846410994
15,3,29.0|30.0,56.09355376274692,0.013223043603039386
15,4,29.0|29.5|30.0,56.093541065654264,0.013223043603039386
15,5,29.0|29.5|30.0|30.5,56.09266406000995,0.014137255264090598
15,6,29.0|29.5|30.0|30.5|31.0,56.09177358889169,0.015239233660651053
20,2,30.0,56.09373099975168,0.010555708846410994
20,3,29.0|30.0,56.09355376274692,0.013223043603039386
20,4,29.0|30.0|30.5,56.09267675710261,0.014137255264090598
20,5,29.0|30.0|30.5|31.0,56.09178628598435,0.015239233660651053
20,6,29.0|30.5|32.5|33.5|34.5,56.08968818727743,0.0214833832702368
30,2,30.0,56.09373099975168,0.010555708846410994
30,3,29.5|30.5,56.09275937324436,0.012649958586205656
30,4,29.5|30.5|31.5,56.09135451350173,0.01450709813498463
30,5,29.5|30.5|31.5|32.5,56.09061363831729,0.016004606702930246
30,6,29.5|30.5|31.5|32.5|33.5,56.090008270299485,0.017983538783237663
