assumption_id,base_spec,perturbed_spec,max_delta_t_k,boundary_change,conclusion
A3,分段线性,纯线性,0.07276746565224457,False,固定效应形式敏感性
A4,随机效应边缘概率,随机效应=0条件概率,0.04340551679110938,False,条件概率可能推早时点
A5,12周阈值线性斜坡,"step,阈值12",0.0836033940070191,False,延迟风险形式敏感性
A5,12周阈值线性斜坡,"steep,阈值12",0.04188616728343675,False,延迟风险形式敏感性
A5,12周阈值线性斜坡,"slope,阈值13",0.5215308800847609,False,延迟风险形式敏感性
A6,rho=1,rho=4,0.4867966280986824,False,主观损失比是主要决策不确定性
A7,n_min=20,n_min=30,0.0,False,分箱约束敏感性
A8,sigma=0,sigma=sigma_tech,0.003811177532753618,False,测量误差通道A
A9,概率层内部校准,观察首次达标比例,,False,最大绝对校准差=0.165；非外部验证
s6_LMP,全样本,剔除日期孕周差异最大的20条,0.41943385166640823,True,数据质量敏感性
s6_jump,全样本,剔除组内Y跳变>0.05的32人,0.42007508487681733,True,数据质量敏感性
s6_health,全样本,剔除胎儿不健康记录,0.001902047378592897,True,数据质量敏感性
s7_GC,不含GC,GC连续协变量,0.004962528700351854,False,不采用40%-60%硬剔除
s8_ti,无交互,"含ti(GA,BMI)交互",0.3007954436338913,False,交互仅作敏感性，不进入主决策
