p_guarantee,group,bmi_low,bmi_high,n,median_bmi,recommendation,median_uncensored,n_uncensored,coverage,expected_asymmetric_loss,n_unsolved,r_cens,n_at_lower
0.75,G1,20.703125,31.0,111,29.846813955000002,10.0,10.0,111,1.0,0.0,0,0.0,111
0.75,G2,31.0,32.0,33,31.511524091641498,10.0,10.0,33,1.0,0.0,0,0.0,33
0.75,G3,32.0,33.5,49,32.8125,10.0,10.0,49,1.0,0.0,0,0.0,49
0.75,G4,33.5,35.0,34,34.2067440407899,10.600000000000001,10.0,34,0.8235294117647058,0.8024298692334477,0,0.0,21
0.75,G5,35.0,46.875,40,36.74180427,22.200000000000003,14.791771282939111,35,0.825,7.201995302058743,5,0.125,0
0.8,G1,20.703125,31.0,111,29.846813955000002,10.0,10.0,111,0.9009009009009009,0.0994101159933749,0,0.0,100
0.8,G2,31.0,32.0,33,31.511524091641498,12.4,11.761638019053414,33,0.8181818181818182,1.015971867867861,0,0.0,0
0.8,G3,32.0,33.5,49,32.8125,16.1,14.96080234388855,49,0.8367346938775511,1.3799146608483872,0,0.0,0
0.8,G4,33.5,35.0,34,34.2067440407899,19.3,18.389317635180102,34,0.8235294117647058,1.402424841117383,0,0.0,0
0.8,G5,35.0,46.875,40,36.74180427,25.0,22.19890787296566,23,0.575,1.5941451253586998,17,0.425,0
0.85,G1,20.703125,31.0,111,29.846813955000002,19.6,17.66588294390291,111,0.8198198198198198,2.57587007685751,0,0.0,1
0.85,G2,31.0,32.0,33,31.511524091641498,22.400000000000002,21.75948778786541,33,0.8181818181818182,1.016167427376162,0,0.0,0
0.85,G3,32.0,33.5,49,32.8125,25.0,24.07821300604788,26,0.5306122448979592,0.6808618161696146,23,0.46938775510204084,0
0.85,G4,33.5,35.0,34,34.2067440407899,25.0,,0,0.0,0.4000000000000057,34,1.0,0
0.85,G5,35.0,46.875,40,36.74180427,25.0,,0,0.0,0.4000000000000057,40,1.0,0
0.9,G1,20.703125,31.0,111,29.846813955000002,25.0,16.27177052132322,2,0.018018018018018018,0.5500581888049926,109,0.9819819819819819,1
0.9,G2,31.0,32.0,33,31.511524091641498,25.0,,0,0.0,0.4000000000000057,33,1.0,0
0.9,G3,32.0,33.5,49,32.8125,25.0,,0,0.0,0.4000000000000057,49,1.0,0
0.9,G4,33.5,35.0,34,34.2067440407899,25.0,,0,0.0,0.4000000000000057,34,1.0,0
0.9,G5,35.0,46.875,40,36.74180427,25.0,,0,0.0,0.4000000000000057,40,1.0,0
