sigma_factor,sigma,group,t_p0.80_median,delta_t,n_unsolved,FNR,FPR
0.0,0.0,G1,10.0,0.0,0,0.0,0.0
0.0,0.0,G2,12.4,0.0,0,0.0,0.0
0.0,0.0,G3,16.1,0.0,0,0.0,0.0
0.0,0.0,G4,19.3,0.0,0,0.0,0.0
0.0,0.0,G5,25.0,0.0,17,0.0,0.0
0.5,0.0665,G1,10.0,0.0,0,0.009366666666666667,0.008233333333333334
0.5,0.0665,G2,12.700000000000001,0.3000000000000007,0,0.009566666666666666,0.008266666666666667
0.5,0.0665,G3,16.400000000000002,0.3000000000000007,0,0.010266666666666667,0.009066666666666667
0.5,0.0665,G4,19.6,0.3000000000000007,0,0.0098,0.008366666666666666
0.5,0.0665,G5,25.0,0.0,19,0.009766666666666667,0.008066666666666666
1.0,0.133,G1,10.600000000000001,0.6000000000000014,0,0.021466666666666665,0.015966666666666667
1.0,0.133,G2,13.4,1.0,0,0.019933333333333334,0.0168
1.0,0.133,G3,17.1,1.0,0,0.019366666666666667,0.0155
1.0,0.133,G4,20.3,1.0,0,0.021366666666666666,0.015466666666666667
1.0,0.133,G5,25.0,0.0,21,0.0187,0.015733333333333332
2.0,0.266,G1,12.9,2.9000000000000004,0,0.0444,0.028433333333333335
2.0,0.266,G2,15.8,3.4000000000000004,0,0.04586666666666667,0.0284
2.0,0.266,G3,19.400000000000002,3.3000000000000007,0,0.044333333333333336,0.028566666666666667
2.0,0.266,G4,22.700000000000003,3.400000000000002,0,0.04466666666666667,0.0274
2.0,0.266,G5,25.0,0.0,34,0.046733333333333335,0.028866666666666665
