chrom,metric,observed,CI_low,CI_high,perm_p
13,f1,0.0,0.0,0.24,1.0
13,auc,0.43323055028463,0.27925047318191515,0.6452358128496033,0.9504950495049505
13,sens,0.0,0.0,0.1584928229665073,1.0
13,spec,0.9905123339658444,0.9845559691146044,1.0,1.0
13,ppv,0.0,0.0,0.36392045454545463,1.0
13,npv,0.9702602230483272,0.9500736943954112,0.987042349726776,1.0
18,f1,0.0,0.0,0.0,1.0
18,auc,0.5670359666024406,0.4678940614516397,0.6516137783763067,0.21782178217821782
18,sens,0.0,0.0,0.0,1.0
18,spec,0.9980732177263969,0.9959814566909613,1.0,1.0
18,ppv,0.0,0.0,0.0,1.0
18,npv,0.955719557195572,0.9317588064136694,0.9795224182550115,1.0
21,f1,0.0,0.0,0.0,1.0
21,auc,0.4919685577580314,0.2649109086585076,0.6683665674603176,0.2079207920792079
21,sens,0.0,0.0,0.0,1.0
21,spec,1.0,0.9980353152662789,1.0,1.0
21,ppv,0.0,0.0,0.0,1.0
21,npv,0.9797421731123389,0.9662680431395063,0.9907277863952336,1.0
