metric,value,unit
female_records,605.0,count
female_mothers,147.0,count
w_min,-0.070047795,proportion
w_median,-0.007788753,proportion
w_max,0.120868993,proportion
w_negative_rate,0.6694214876033058,proportion
q5,-0.032763595799999996,proportion
q10,-0.027153685,proportion
q25,-0.018146753,proportion
ab_positive_records,67.0,count
ab_positive_mothers,44.0,count
mixed_label_mothers,43.0,count
ae_unique,1.0,count
ab_positive_and_ae_unhealthy,0.0,count
gc_min,0.367701,proportion
gc_max,0.4434829,proportion
gc_below_0_40_rate,0.36363636363636365,proportion
bmi_missing_records,1.0,count
AB_negative,538.0,count
AB_T18,33.0,count
AB_T13T18,11.0,count
AB_T13,10.0,count
AB_T21,9.0,count
AB_T18T21,2.0,count
AB_T13T21,2.0,count
